location,date,aqi
"Central/TaiChung City/Wurih, Taiwan",2022-11-15,67.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-14,65.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-13,88.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-12,86.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-11,76.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-10,73.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-09,68.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-08,51.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-05,51.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-04,53.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-03,44.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-02,37.0
"Central/TaiChung City/Wurih, Taiwan",2022-11-01,31.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-31,54.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-30,49.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-29,58.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-28,75.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-27,62.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-26,51.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-25,51.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-24,37.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-23,69.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-22,58.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-21,57.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-20,41.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-19,36.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-18,35.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-17,38.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-16,20.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-15,46.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-14,40.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-13,44.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-12,42.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-11,43.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-10,39.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-09,40.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-08,58.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-07,71.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-06,76.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-05,82.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-04,80.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-03,84.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-02,87.0
"Central/TaiChung City/Wurih, Taiwan",2022-10-01,58.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-30,76.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-29,74.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-28,72.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-27,63.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-26,49.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-25,50.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-24,63.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-23,74.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-22,64.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-21,78.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-20,82.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-19,83.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-18,75.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-17,72.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-16,74.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-15,82.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-14,65.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-13,44.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-12,44.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-11,71.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-10,79.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-09,88.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-08,65.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-07,68.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-06,54.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-04,30.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-03,32.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-02,45.0
"Central/TaiChung City/Wurih, Taiwan",2022-09-01,48.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-31,54.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-30,55.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-29,47.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-28,46.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-27,41.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-26,39.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-25,60.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-24,52.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-23,37.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-22,39.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-21,54.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-20,36.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-19,36.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-18,37.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-17,41.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-16,58.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-15,28.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-13,45.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-12,38.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-11,43.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-10,43.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-09,46.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-08,43.0
"Central/TaiChung City/Wurih, Taiwan",2022-08-07,34.0
