location,date,aqi
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-15,29.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-13,62.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-12,59.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-11,60.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-10,43.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-09,37.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-08,36.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-07,31.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-05,35.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-04,39.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-03,32.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-02,29.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-11-01,24.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-31,33.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-30,28.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-29,29.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-28,30.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-27,20.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-26,24.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-25,27.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-24,46.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-23,39.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-22,34.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-21,34.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-20,27.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-19,26.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-18,48.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-17,19.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-14,39.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-13,32.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-12,31.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-11,28.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-10,28.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-09,24.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-08,30.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-07,21.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-06,28.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-05,32.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-04,41.0
"Mikuninocho Gochaku, Himeji, Hyogo Prefecture, Japan",2022-10-03,42.0
