location,date,aqi
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-16,84.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-15,66.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-14,66.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-13,53.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-12,63.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-10,68.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-09,58.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-08,51.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-07,45.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-05,54.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-04,47.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-03,65.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-02,39.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-11-01,53.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-31,55.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-30,43.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-28,77.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-27,53.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-26,35.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-25,55.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-24,67.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-23,56.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-22,40.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-21,38.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-20,24.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-19,58.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-18,49.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-17,52.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-16,64.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-15,86.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-14,65.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-13,41.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-12,45.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-11,38.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-10,31.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-09,56.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-08,39.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-07,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-06,39.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-05,24.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-04,21.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-03,16.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-10-02,39.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-30,19.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-29,18.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-28,28.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-27,45.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-26,44.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-25,31.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-24,24.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-23,23.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-20,15.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-19,17.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-18,20.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-17,26.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-16,29.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-15,33.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-14,26.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-13,29.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-11,23.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-10,23.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-09,42.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-08,38.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-07,38.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-06,35.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-05,32.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-04,20.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-03,30.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-02,30.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-09-01,26.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-31,26.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-30,32.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-28,40.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-27,73.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-26,79.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-25,47.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-24,32.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-23,23.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-22,19.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-20,53.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-16,65.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-15,62.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-14,60.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-13,32.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-12,35.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-11,50.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-10,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-09,34.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-08,33.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-07,36.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-05,56.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-08-04,53.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-31,45.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-30,52.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-29,39.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-28,46.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-27,77.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-26,39.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-25,48.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-24,67.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-23,62.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-22,53.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-21,58.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-20,50.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-19,41.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-18,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-17,32.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-16,34.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-15,32.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-14,43.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-13,35.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-12,30.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-11,24.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-10,26.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-09,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-07,41.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-06,45.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-05,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-03,35.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-07-02,74.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-30,72.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-29,51.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-28,48.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-27,42.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-26,43.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-25,38.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-24,42.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-23,44.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-22,31.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-21,44.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-20,30.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-19,35.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-18,36.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-15,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-13,32.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-12,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-11,35.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-10,40.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-09,29.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-08,37.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-07,24.0
"Olomouc-Smeralova, Olomoucky, Czech Republic",2022-06-06,49.0
