location,date,aqi
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-30,14.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-29,23.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-28,19.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-27,18.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-26,26.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-25,37.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-24,25.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-23,18.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-22,24.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-21,35.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-20,31.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-19,29.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-18,38.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-17,33.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-16,28.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-15,37.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-14,36.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-13,33.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-12,28.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-11,30.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-10,42.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-09,41.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-08,34.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-07,26.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-06,23.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-05,30.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-04,21.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-03,24.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-04-02,16.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-28,21.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-27,40.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-26,28.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-25,24.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-24,26.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-23,39.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-22,71.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-21,69.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-20,50.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-19,52.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-18,39.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-17,50.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-16,43.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-15,28.0
"Quesnel Senior Secondary, British Comlumbia, Canada",2020-03-14,17.0
