location,date,aqi
"Cardiff Newport Road, United Kingdom",2022-11-16,39.0
"Cardiff Newport Road, United Kingdom",2022-11-15,57.0
"Cardiff Newport Road, United Kingdom",2022-11-14,64.0
"Cardiff Newport Road, United Kingdom",2022-11-13,55.0
"Cardiff Newport Road, United Kingdom",2022-11-12,40.0
"Cardiff Newport Road, United Kingdom",2022-11-11,38.0
"Cardiff Newport Road, United Kingdom",2022-11-10,40.0
"Cardiff Newport Road, United Kingdom",2022-11-09,37.0
"Cardiff Newport Road, United Kingdom",2022-11-08,45.0
"Cardiff Newport Road, United Kingdom",2022-11-07,54.0
"Cardiff Newport Road, United Kingdom",2022-11-05,53.0
"Cardiff Newport Road, United Kingdom",2022-11-04,40.0
"Cardiff Newport Road, United Kingdom",2022-11-03,40.0
"Cardiff Newport Road, United Kingdom",2022-11-02,34.0
"Cardiff Newport Road, United Kingdom",2022-10-31,42.0
"Cardiff Newport Road, United Kingdom",2022-10-30,41.0
"Cardiff Newport Road, United Kingdom",2022-10-29,38.0
"Cardiff Newport Road, United Kingdom",2022-10-27,44.0
"Cardiff Newport Road, United Kingdom",2022-10-26,40.0
"Cardiff Newport Road, United Kingdom",2022-10-25,41.0
"Cardiff Newport Road, United Kingdom",2022-10-24,47.0
"Cardiff Newport Road, United Kingdom",2022-10-23,51.0
"Cardiff Newport Road, United Kingdom",2022-10-22,47.0
"Cardiff Newport Road, United Kingdom",2022-10-21,57.0
"Cardiff Newport Road, United Kingdom",2022-10-20,54.0
"Cardiff Newport Road, United Kingdom",2022-10-19,47.0
"Cardiff Newport Road, United Kingdom",2022-10-17,37.0
"Cardiff Newport Road, United Kingdom",2022-10-16,43.0
"Cardiff Newport Road, United Kingdom",2022-10-15,42.0
"Cardiff Newport Road, United Kingdom",2022-10-14,54.0
"Cardiff Newport Road, United Kingdom",2022-10-13,53.0
"Cardiff Newport Road, United Kingdom",2022-10-12,50.0
"Cardiff Newport Road, United Kingdom",2022-10-11,40.0
"Cardiff Newport Road, United Kingdom",2022-10-10,53.0
"Cardiff Newport Road, United Kingdom",2022-10-09,47.0
"Cardiff Newport Road, United Kingdom",2022-10-08,40.0
"Cardiff Newport Road, United Kingdom",2022-10-07,46.0
"Cardiff Newport Road, United Kingdom",2022-10-06,38.0
"Cardiff Newport Road, United Kingdom",2022-10-05,31.0
"Cardiff Newport Road, United Kingdom",2022-10-04,42.0
"Cardiff Newport Road, United Kingdom",2022-10-03,37.0
"Cardiff Newport Road, United Kingdom",2022-10-02,48.0
"Cardiff Newport Road, United Kingdom",2022-09-30,27.0
"Cardiff Newport Road, United Kingdom",2022-09-29,28.0
"Cardiff Newport Road, United Kingdom",2022-09-28,39.0
"Cardiff Newport Road, United Kingdom",2022-09-27,31.0
