location,date,aqi
"Edmonton Central, Alberta, Canada",2022-09-12,131.0
"Edmonton Central, Alberta, Canada",2022-09-11,89.0
"Edmonton Central, Alberta, Canada",2022-09-10,22.0
"Edmonton Central, Alberta, Canada",2021-03-05,62.0
"Edmonton Central, Alberta, Canada",2021-03-04,59.0
"Edmonton Central, Alberta, Canada",2021-03-02,43.0
"Edmonton Central, Alberta, Canada",2021-03-01,55.0
"Edmonton Central, Alberta, Canada",2021-02-28,38.0
"Edmonton Central, Alberta, Canada",2021-02-27,16.0
"Edmonton Central, Alberta, Canada",2021-02-26,8.0
"Edmonton Central, Alberta, Canada",2021-02-25,18.0
"Edmonton Central, Alberta, Canada",2021-02-24,17.0
"Edmonton Central, Alberta, Canada",2021-02-23,15.0
"Edmonton Central, Alberta, Canada",2021-02-21,14.0
"Edmonton Central, Alberta, Canada",2021-02-20,14.0
"Edmonton Central, Alberta, Canada",2021-02-19,24.0
"Edmonton Central, Alberta, Canada",2021-02-18,26.0
"Edmonton Central, Alberta, Canada",2021-02-17,30.0
"Edmonton Central, Alberta, Canada",2021-02-16,29.0
"Edmonton Central, Alberta, Canada",2021-02-14,16.0
"Edmonton Central, Alberta, Canada",2021-02-13,18.0
"Edmonton Central, Alberta, Canada",2021-02-12,14.0
"Edmonton Central, Alberta, Canada",2021-02-09,45.0
"Edmonton Central, Alberta, Canada",2021-02-08,53.0
"Edmonton Central, Alberta, Canada",2021-02-07,35.0
"Edmonton Central, Alberta, Canada",2021-02-06,26.0
"Edmonton Central, Alberta, Canada",2021-02-05,39.0
"Edmonton Central, Alberta, Canada",2021-02-04,22.0
"Edmonton Central, Alberta, Canada",2021-02-02,70.0
"Edmonton Central, Alberta, Canada",2021-02-01,68.0
"Edmonton Central, Alberta, Canada",2021-01-31,75.0
"Edmonton Central, Alberta, Canada",2021-01-29,50.0
"Edmonton Central, Alberta, Canada",2021-01-27,19.0
"Edmonton Central, Alberta, Canada",2021-01-26,15.0
"Edmonton Central, Alberta, Canada",2021-01-23,13.0
"Edmonton Central, Alberta, Canada",2021-01-22,13.0
"Edmonton Central, Alberta, Canada",2021-01-21,17.0
"Edmonton Central, Alberta, Canada",2021-01-20,12.0
"Edmonton Central, Alberta, Canada",2021-01-19,15.0
"Edmonton Central, Alberta, Canada",2021-01-18,13.0
"Edmonton Central, Alberta, Canada",2021-01-17,14.0
"Edmonton Central, Alberta, Canada",2021-01-16,11.0
"Edmonton Central, Alberta, Canada",2021-01-15,15.0
"Edmonton Central, Alberta, Canada",2021-01-13,18.0
"Edmonton Central, Alberta, Canada",2021-01-08,28.0
"Edmonton Central, Alberta, Canada",2021-01-07,30.0
"Edmonton Central, Alberta, Canada",2021-01-06,16.0
"Edmonton Central, Alberta, Canada",2020-12-31,30.0
"Edmonton Central, Alberta, Canada",2020-12-27,36.0
"Edmonton Central, Alberta, Canada",2020-12-26,22.0
"Edmonton Central, Alberta, Canada",2020-12-25,25.0
"Edmonton Central, Alberta, Canada",2020-12-24,17.0
"Edmonton Central, Alberta, Canada",2020-12-23,19.0
"Edmonton Central, Alberta, Canada",2020-12-22,18.0
"Edmonton Central, Alberta, Canada",2020-12-18,40.0
"Edmonton Central, Alberta, Canada",2020-12-16,50.0
"Edmonton Central, Alberta, Canada",2020-12-10,21.0
"Edmonton Central, Alberta, Canada",2020-12-04,26.0
"Edmonton Central, Alberta, Canada",2020-11-28,15.0
"Edmonton Central, Alberta, Canada",2020-11-27,17.0
"Edmonton Central, Alberta, Canada",2020-11-26,18.0
"Edmonton Central, Alberta, Canada",2020-11-25,54.0
"Edmonton Central, Alberta, Canada",2020-11-24,52.0
"Edmonton Central, Alberta, Canada",2020-11-23,30.0
"Edmonton Central, Alberta, Canada",2020-11-20,27.0
"Edmonton Central, Alberta, Canada",2020-11-16,37.0
"Edmonton Central, Alberta, Canada",2020-11-15,38.0
"Edmonton Central, Alberta, Canada",2020-11-12,26.0
"Edmonton Central, Alberta, Canada",2020-11-07,17.0
"Edmonton Central, Alberta, Canada",2020-11-05,17.0
"Edmonton Central, Alberta, Canada",2020-11-04,35.0
"Edmonton Central, Alberta, Canada",2020-11-03,30.0
"Edmonton Central, Alberta, Canada",2020-11-02,18.0
"Edmonton Central, Alberta, Canada",2020-10-31,23.0
"Edmonton Central, Alberta, Canada",2020-10-29,18.0
"Edmonton Central, Alberta, Canada",2020-10-28,19.0
"Edmonton Central, Alberta, Canada",2020-10-27,13.0
"Edmonton Central, Alberta, Canada",2020-10-23,14.0
"Edmonton Central, Alberta, Canada",2020-10-20,17.0
"Edmonton Central, Alberta, Canada",2020-10-16,13.0
"Edmonton Central, Alberta, Canada",2020-10-13,12.0
"Edmonton Central, Alberta, Canada",2020-10-10,14.0
"Edmonton Central, Alberta, Canada",2020-10-09,13.0
"Edmonton Central, Alberta, Canada",2020-10-04,35.0
"Edmonton Central, Alberta, Canada",2020-09-26,12.0
"Edmonton Central, Alberta, Canada",2020-09-25,22.0
"Edmonton Central, Alberta, Canada",2020-09-24,25.0
"Edmonton Central, Alberta, Canada",2020-09-22,14.0
"Edmonton Central, Alberta, Canada",2020-09-19,51.0
"Edmonton Central, Alberta, Canada",2020-09-18,43.0
"Edmonton Central, Alberta, Canada",2020-09-17,39.0
"Edmonton Central, Alberta, Canada",2020-09-16,14.0
"Edmonton Central, Alberta, Canada",2020-09-15,13.0
"Edmonton Central, Alberta, Canada",2020-09-14,11.0
"Edmonton Central, Alberta, Canada",2020-09-13,12.0
"Edmonton Central, Alberta, Canada",2020-09-12,21.0
"Edmonton Central, Alberta, Canada",2020-09-11,23.0
"Edmonton Central, Alberta, Canada",2020-09-10,16.0
"Edmonton Central, Alberta, Canada",2020-09-09,12.0
"Edmonton Central, Alberta, Canada",2020-09-07,6.0
"Edmonton Central, Alberta, Canada",2020-09-05,14.0
"Edmonton Central, Alberta, Canada",2020-09-04,10.0
"Edmonton Central, Alberta, Canada",2020-08-31,15.0
"Edmonton Central, Alberta, Canada",2020-08-30,13.0
"Edmonton Central, Alberta, Canada",2020-08-28,12.0
"Edmonton Central, Alberta, Canada",2020-08-25,14.0
"Edmonton Central, Alberta, Canada",2020-08-24,17.0
"Edmonton Central, Alberta, Canada",2020-08-23,16.0
"Edmonton Central, Alberta, Canada",2020-08-20,16.0
"Edmonton Central, Alberta, Canada",2020-08-18,27.0
"Edmonton Central, Alberta, Canada",2020-08-17,22.0
"Edmonton Central, Alberta, Canada",2020-08-15,13.0
"Edmonton Central, Alberta, Canada",2020-08-13,19.0
"Edmonton Central, Alberta, Canada",2020-08-12,16.0
"Edmonton Central, Alberta, Canada",2020-08-11,12.0
"Edmonton Central, Alberta, Canada",2020-08-08,13.0
"Edmonton Central, Alberta, Canada",2020-08-06,19.0
"Edmonton Central, Alberta, Canada",2020-08-04,23.0
"Edmonton Central, Alberta, Canada",2020-08-02,14.0
"Edmonton Central, Alberta, Canada",2020-07-31,48.0
"Edmonton Central, Alberta, Canada",2020-07-30,33.0
"Edmonton Central, Alberta, Canada",2020-07-29,43.0
"Edmonton Central, Alberta, Canada",2020-07-27,18.0
"Edmonton Central, Alberta, Canada",2020-07-26,12.0
"Edmonton Central, Alberta, Canada",2020-07-24,34.0
"Edmonton Central, Alberta, Canada",2020-07-22,19.0
"Edmonton Central, Alberta, Canada",2020-07-21,16.0
"Edmonton Central, Alberta, Canada",2020-07-20,10.0
"Edmonton Central, Alberta, Canada",2020-07-14,8.0
"Edmonton Central, Alberta, Canada",2020-07-13,17.0
"Edmonton Central, Alberta, Canada",2020-07-12,16.0
"Edmonton Central, Alberta, Canada",2020-07-11,14.0
"Edmonton Central, Alberta, Canada",2020-07-10,20.0
"Edmonton Central, Alberta, Canada",2020-07-07,18.0
