location,date,aqi
"North China Institute of Aerospace, Langfang",2022-11-16,86.0
"North China Institute of Aerospace, Langfang",2022-11-15,95.0
"North China Institute of Aerospace, Langfang",2022-11-14,49.0
"North China Institute of Aerospace, Langfang",2022-11-13,30.0
"North China Institute of Aerospace, Langfang",2022-11-12,172.0
"North China Institute of Aerospace, Langfang",2022-11-11,196.0
"North China Institute of Aerospace, Langfang",2022-11-10,200.0
"North China Institute of Aerospace, Langfang",2022-11-09,146.0
"North China Institute of Aerospace, Langfang",2022-11-08,103.0
"North China Institute of Aerospace, Langfang",2022-11-07,170.0
"North China Institute of Aerospace, Langfang",2022-11-05,107.0
"North China Institute of Aerospace, Langfang",2022-11-04,68.0
"North China Institute of Aerospace, Langfang",2022-11-03,102.0
"North China Institute of Aerospace, Langfang",2022-11-02,64.0
"North China Institute of Aerospace, Langfang",2022-11-01,31.0
"North China Institute of Aerospace, Langfang",2022-10-31,153.0
"North China Institute of Aerospace, Langfang",2022-10-30,79.0
"North China Institute of Aerospace, Langfang",2022-10-29,58.0
"North China Institute of Aerospace, Langfang",2022-10-28,52.0
"North China Institute of Aerospace, Langfang",2022-10-27,150.0
"North China Institute of Aerospace, Langfang",2022-10-26,183.0
"North China Institute of Aerospace, Langfang",2022-10-25,115.0
"North China Institute of Aerospace, Langfang",2022-10-24,74.0
"North China Institute of Aerospace, Langfang",2022-10-23,71.0
"North China Institute of Aerospace, Langfang",2022-10-22,162.0
"North China Institute of Aerospace, Langfang",2022-10-21,147.0
"North China Institute of Aerospace, Langfang",2022-10-20,125.0
"North China Institute of Aerospace, Langfang",2022-10-19,76.0
"North China Institute of Aerospace, Langfang",2022-10-18,39.0
"North China Institute of Aerospace, Langfang",2022-10-17,51.0
"North China Institute of Aerospace, Langfang",2022-10-16,207.0
"North China Institute of Aerospace, Langfang",2022-10-15,186.0
"North China Institute of Aerospace, Langfang",2022-10-14,174.0
"North China Institute of Aerospace, Langfang",2022-10-13,146.0
"North China Institute of Aerospace, Langfang",2022-10-12,85.0
"North China Institute of Aerospace, Langfang",2022-10-11,50.0
"North China Institute of Aerospace, Langfang",2022-10-10,29.0
"North China Institute of Aerospace, Langfang",2022-10-09,155.0
"North China Institute of Aerospace, Langfang",2022-10-08,131.0
"North China Institute of Aerospace, Langfang",2022-10-07,79.0
"North China Institute of Aerospace, Langfang",2022-10-06,54.0
"North China Institute of Aerospace, Langfang",2022-10-05,37.0
"North China Institute of Aerospace, Langfang",2022-10-04,55.0
"North China Institute of Aerospace, Langfang",2022-10-03,53.0
"North China Institute of Aerospace, Langfang",2022-10-02,153.0
"North China Institute of Aerospace, Langfang",2022-10-01,156.0
"North China Institute of Aerospace, Langfang",2022-09-30,161.0
"North China Institute of Aerospace, Langfang",2022-09-29,155.0
"North China Institute of Aerospace, Langfang",2022-09-28,161.0
"North China Institute of Aerospace, Langfang",2022-09-27,165.0
"North China Institute of Aerospace, Langfang",2022-09-26,146.0
"North China Institute of Aerospace, Langfang",2022-09-25,87.0
"North China Institute of Aerospace, Langfang",2022-09-24,54.0
"North China Institute of Aerospace, Langfang",2022-09-23,80.0
"North China Institute of Aerospace, Langfang",2022-09-22,85.0
"North China Institute of Aerospace, Langfang",2022-09-21,59.0
"North China Institute of Aerospace, Langfang",2022-09-20,80.0
"North China Institute of Aerospace, Langfang",2022-09-19,74.0
"North China Institute of Aerospace, Langfang",2022-09-18,124.0
"North China Institute of Aerospace, Langfang",2022-09-17,98.0
"North China Institute of Aerospace, Langfang",2022-09-16,85.0
"North China Institute of Aerospace, Langfang",2022-09-15,128.0
"North China Institute of Aerospace, Langfang",2022-09-14,158.0
"North China Institute of Aerospace, Langfang",2022-09-13,148.0
"North China Institute of Aerospace, Langfang",2022-09-12,121.0
"North China Institute of Aerospace, Langfang",2022-09-11,154.0
