location,date,aqi
"Dazhigu No.8 road, Tianjin",2022-11-16,101.0
"Dazhigu No.8 road, Tianjin",2022-11-15,114.0
"Dazhigu No.8 road, Tianjin",2022-11-14,55.0
"Dazhigu No.8 road, Tianjin",2022-11-13,76.0
"Dazhigu No.8 road, Tianjin",2022-11-12,187.0
"Dazhigu No.8 road, Tianjin",2022-11-11,238.0
"Dazhigu No.8 road, Tianjin",2022-11-10,208.0
"Dazhigu No.8 road, Tianjin",2022-11-09,165.0
"Dazhigu No.8 road, Tianjin",2022-11-08,93.0
"Dazhigu No.8 road, Tianjin",2022-11-05,73.0
"Dazhigu No.8 road, Tianjin",2022-11-04,56.0
"Dazhigu No.8 road, Tianjin",2022-11-03,130.0
"Dazhigu No.8 road, Tianjin",2022-11-02,77.0
"Dazhigu No.8 road, Tianjin",2022-11-01,77.0
"Dazhigu No.8 road, Tianjin",2022-10-31,133.0
"Dazhigu No.8 road, Tianjin",2022-10-30,103.0
"Dazhigu No.8 road, Tianjin",2022-10-29,65.0
"Dazhigu No.8 road, Tianjin",2022-10-28,51.0
"Dazhigu No.8 road, Tianjin",2022-10-27,122.0
"Dazhigu No.8 road, Tianjin",2022-10-26,140.0
"Dazhigu No.8 road, Tianjin",2022-10-25,118.0
"Dazhigu No.8 road, Tianjin",2022-10-24,90.0
"Dazhigu No.8 road, Tianjin",2022-10-23,81.0
"Dazhigu No.8 road, Tianjin",2022-10-22,160.0
"Dazhigu No.8 road, Tianjin",2022-10-21,145.0
"Dazhigu No.8 road, Tianjin",2022-10-20,148.0
"Dazhigu No.8 road, Tianjin",2022-10-19,74.0
"Dazhigu No.8 road, Tianjin",2022-10-18,47.0
"Dazhigu No.8 road, Tianjin",2022-10-17,70.0
"Dazhigu No.8 road, Tianjin",2022-10-16,179.0
"Dazhigu No.8 road, Tianjin",2022-10-15,175.0
"Dazhigu No.8 road, Tianjin",2022-10-14,160.0
"Dazhigu No.8 road, Tianjin",2022-10-13,123.0
"Dazhigu No.8 road, Tianjin",2022-10-12,96.0
"Dazhigu No.8 road, Tianjin",2022-10-11,56.0
"Dazhigu No.8 road, Tianjin",2022-10-10,20.0
"Dazhigu No.8 road, Tianjin",2022-10-09,119.0
"Dazhigu No.8 road, Tianjin",2022-10-08,134.0
"Dazhigu No.8 road, Tianjin",2022-10-07,89.0
"Dazhigu No.8 road, Tianjin",2022-10-06,73.0
"Dazhigu No.8 road, Tianjin",2022-10-05,41.0
"Dazhigu No.8 road, Tianjin",2022-10-04,28.0
"Dazhigu No.8 road, Tianjin",2022-10-03,43.0
"Dazhigu No.8 road, Tianjin",2022-10-02,122.0
"Dazhigu No.8 road, Tianjin",2022-09-30,108.0
"Dazhigu No.8 road, Tianjin",2022-09-29,111.0
"Dazhigu No.8 road, Tianjin",2022-09-28,112.0
"Dazhigu No.8 road, Tianjin",2022-09-27,118.0
"Dazhigu No.8 road, Tianjin",2022-09-26,139.0
"Dazhigu No.8 road, Tianjin",2022-09-25,81.0
"Dazhigu No.8 road, Tianjin",2022-09-24,50.0
"Dazhigu No.8 road, Tianjin",2022-09-23,62.0
"Dazhigu No.8 road, Tianjin",2022-09-22,77.0
"Dazhigu No.8 road, Tianjin",2022-09-21,46.0
"Dazhigu No.8 road, Tianjin",2022-09-20,40.0
"Dazhigu No.8 road, Tianjin",2022-09-19,81.0
"Dazhigu No.8 road, Tianjin",2022-09-18,88.0
"Dazhigu No.8 road, Tianjin",2022-09-17,77.0
"Dazhigu No.8 road, Tianjin",2022-09-16,63.0
"Dazhigu No.8 road, Tianjin",2022-09-15,91.0
"Dazhigu No.8 road, Tianjin",2022-09-14,122.0
"Dazhigu No.8 road, Tianjin",2022-09-13,104.0
"Dazhigu No.8 road, Tianjin",2022-09-12,88.0
"Dazhigu No.8 road, Tianjin",2022-09-11,138.0
"Dazhigu No.8 road, Tianjin",2022-09-10,117.0
"Dazhigu No.8 road, Tianjin",2022-09-09,98.0
"Dazhigu No.8 road, Tianjin",2022-09-08,59.0
"Dazhigu No.8 road, Tianjin",2022-09-07,37.0
"Dazhigu No.8 road, Tianjin",2022-09-06,65.0
"Dazhigu No.8 road, Tianjin",2022-09-05,88.0
"Dazhigu No.8 road, Tianjin",2022-09-04,80.0
"Dazhigu No.8 road, Tianjin",2022-09-03,55.0
"Dazhigu No.8 road, Tianjin",2022-09-02,40.0
"Dazhigu No.8 road, Tianjin",2022-09-01,48.0
"Dazhigu No.8 road, Tianjin",2022-08-31,118.0
"Dazhigu No.8 road, Tianjin",2022-08-30,74.0
"Dazhigu No.8 road, Tianjin",2022-08-29,59.0
"Dazhigu No.8 road, Tianjin",2022-08-28,37.0
"Dazhigu No.8 road, Tianjin",2022-08-27,56.0
"Dazhigu No.8 road, Tianjin",2022-08-26,64.0
"Dazhigu No.8 road, Tianjin",2022-08-25,43.0
"Dazhigu No.8 road, Tianjin",2022-08-24,35.0
"Dazhigu No.8 road, Tianjin",2022-08-23,68.0
"Dazhigu No.8 road, Tianjin",2022-08-22,72.0
"Dazhigu No.8 road, Tianjin",2022-08-21,42.0
"Dazhigu No.8 road, Tianjin",2022-08-20,68.0
"Dazhigu No.8 road, Tianjin",2022-08-19,96.0
"Dazhigu No.8 road, Tianjin",2022-08-18,59.0
"Dazhigu No.8 road, Tianjin",2022-08-17,51.0
"Dazhigu No.8 road, Tianjin",2022-08-16,51.0
"Dazhigu No.8 road, Tianjin",2022-08-15,91.0
"Dazhigu No.8 road, Tianjin",2022-08-14,107.0
"Dazhigu No.8 road, Tianjin",2022-08-13,127.0
"Dazhigu No.8 road, Tianjin",2022-08-12,69.0
"Dazhigu No.8 road, Tianjin",2022-08-11,53.0
"Dazhigu No.8 road, Tianjin",2022-08-10,46.0
"Dazhigu No.8 road, Tianjin",2022-08-08,77.0
