location,date,aqi
"Busansinhang, Busan, South Korea",2022-11-16,53.0
"Busansinhang, Busan, South Korea",2022-11-15,54.0
"Busansinhang, Busan, South Korea",2022-11-14,28.0
"Busansinhang, Busan, South Korea",2022-11-13,88.0
"Busansinhang, Busan, South Korea",2022-11-12,115.0
"Busansinhang, Busan, South Korea",2022-11-11,121.0
"Busansinhang, Busan, South Korea",2022-11-10,106.0
"Busansinhang, Busan, South Korea",2022-11-09,88.0
"Busansinhang, Busan, South Korea",2022-11-08,71.0
"Busansinhang, Busan, South Korea",2022-11-05,55.0
"Busansinhang, Busan, South Korea",2022-11-04,110.0
"Busansinhang, Busan, South Korea",2022-11-03,107.0
"Busansinhang, Busan, South Korea",2022-11-02,51.0
"Busansinhang, Busan, South Korea",2022-11-01,33.0
"Busansinhang, Busan, South Korea",2022-10-31,25.0
"Busansinhang, Busan, South Korea",2022-10-30,27.0
"Busansinhang, Busan, South Korea",2022-10-29,69.0
"Busansinhang, Busan, South Korea",2022-10-28,46.0
"Busansinhang, Busan, South Korea",2022-10-27,40.0
"Busansinhang, Busan, South Korea",2022-10-26,26.0
"Busansinhang, Busan, South Korea",2022-10-25,42.0
"Busansinhang, Busan, South Korea",2022-10-24,61.0
"Busansinhang, Busan, South Korea",2022-10-23,49.0
"Busansinhang, Busan, South Korea",2022-10-22,60.0
"Busansinhang, Busan, South Korea",2022-10-21,60.0
"Busansinhang, Busan, South Korea",2022-10-20,35.0
"Busansinhang, Busan, South Korea",2022-10-19,22.0
"Busansinhang, Busan, South Korea",2022-10-17,34.0
"Busansinhang, Busan, South Korea",2022-10-16,29.0
"Busansinhang, Busan, South Korea",2022-10-15,32.0
"Busansinhang, Busan, South Korea",2022-10-14,28.0
"Busansinhang, Busan, South Korea",2022-10-13,43.0
"Busansinhang, Busan, South Korea",2022-10-12,28.0
"Busansinhang, Busan, South Korea",2022-10-11,27.0
"Busansinhang, Busan, South Korea",2022-10-10,26.0
"Busansinhang, Busan, South Korea",2022-10-09,25.0
"Busansinhang, Busan, South Korea",2022-10-08,42.0
"Busansinhang, Busan, South Korea",2022-10-07,36.0
"Busansinhang, Busan, South Korea",2022-10-06,24.0
"Busansinhang, Busan, South Korea",2022-10-05,23.0
"Busansinhang, Busan, South Korea",2022-10-04,50.0
"Busansinhang, Busan, South Korea",2022-10-03,67.0
"Busansinhang, Busan, South Korea",2022-10-02,92.0
"Busansinhang, Busan, South Korea",2022-10-01,56.0
"Busansinhang, Busan, South Korea",2022-09-30,70.0
"Busansinhang, Busan, South Korea",2022-09-29,48.0
"Busansinhang, Busan, South Korea",2022-09-28,57.0
"Busansinhang, Busan, South Korea",2022-09-27,62.0
"Busansinhang, Busan, South Korea",2022-09-26,46.0
"Busansinhang, Busan, South Korea",2022-09-25,29.0
"Busansinhang, Busan, South Korea",2022-09-24,53.0
"Busansinhang, Busan, South Korea",2022-09-23,40.0
"Busansinhang, Busan, South Korea",2022-09-22,27.0
"Busansinhang, Busan, South Korea",2022-09-21,43.0
"Busansinhang, Busan, South Korea",2022-09-20,30.0
"Busansinhang, Busan, South Korea",2022-09-19,35.0
"Busansinhang, Busan, South Korea",2022-09-18,79.0
"Busansinhang, Busan, South Korea",2022-09-17,54.0
"Busansinhang, Busan, South Korea",2022-09-16,48.0
"Busansinhang, Busan, South Korea",2022-09-15,36.0
"Busansinhang, Busan, South Korea",2022-09-14,42.0
"Busansinhang, Busan, South Korea",2022-09-13,40.0
"Busansinhang, Busan, South Korea",2022-09-12,43.0
"Busansinhang, Busan, South Korea",2022-09-11,31.0
"Busansinhang, Busan, South Korea",2022-09-10,31.0
"Busansinhang, Busan, South Korea",2022-09-09,57.0
"Busansinhang, Busan, South Korea",2022-09-08,49.0
