location,date,aqi
"lóng zhōu wān, Chongqing",2022-11-15,102.0
"lóng zhōu wān, Chongqing",2022-11-14,90.0
"lóng zhōu wān, Chongqing",2022-11-13,107.0
"lóng zhōu wān, Chongqing",2022-11-12,161.0
"lóng zhōu wān, Chongqing",2022-11-11,160.0
"lóng zhōu wān, Chongqing",2022-11-10,151.0
"lóng zhōu wān, Chongqing",2022-11-09,182.0
"lóng zhōu wān, Chongqing",2022-11-08,158.0
"lóng zhōu wān, Chongqing",2022-11-07,145.0
"lóng zhōu wān, Chongqing",2022-11-05,147.0
"lóng zhōu wān, Chongqing",2022-11-04,155.0
"lóng zhōu wān, Chongqing",2022-11-03,94.0
"lóng zhōu wān, Chongqing",2022-11-02,122.0
"lóng zhōu wān, Chongqing",2022-11-01,111.0
"lóng zhōu wān, Chongqing",2022-10-31,76.0
"lóng zhōu wān, Chongqing",2022-10-30,57.0
"lóng zhōu wān, Chongqing",2022-10-29,76.0
"lóng zhōu wān, Chongqing",2022-10-28,129.0
"lóng zhōu wān, Chongqing",2022-10-27,124.0
"lóng zhōu wān, Chongqing",2022-10-26,87.0
"lóng zhōu wān, Chongqing",2022-10-25,122.0
"lóng zhōu wān, Chongqing",2022-10-24,166.0
"lóng zhōu wān, Chongqing",2022-10-23,149.0
"lóng zhōu wān, Chongqing",2022-10-22,123.0
"lóng zhōu wān, Chongqing",2022-10-21,83.0
"lóng zhōu wān, Chongqing",2022-10-20,116.0
"lóng zhōu wān, Chongqing",2022-10-19,132.0
"lóng zhōu wān, Chongqing",2022-10-18,137.0
"lóng zhōu wān, Chongqing",2022-10-17,148.0
"lóng zhōu wān, Chongqing",2022-10-16,145.0
"lóng zhōu wān, Chongqing",2022-10-15,160.0
"lóng zhōu wān, Chongqing",2022-10-14,156.0
"lóng zhōu wān, Chongqing",2022-10-13,102.0
"lóng zhōu wān, Chongqing",2022-10-12,64.0
"lóng zhōu wān, Chongqing",2022-10-11,65.0
"lóng zhōu wān, Chongqing",2022-10-10,44.0
"lóng zhōu wān, Chongqing",2022-10-09,34.0
"lóng zhōu wān, Chongqing",2022-10-08,38.0
"lóng zhōu wān, Chongqing",2022-10-07,43.0
"lóng zhōu wān, Chongqing",2022-10-06,78.0
"lóng zhōu wān, Chongqing",2022-10-05,76.0
"lóng zhōu wān, Chongqing",2022-10-04,39.0
"lóng zhōu wān, Chongqing",2022-10-02,84.0
"lóng zhōu wān, Chongqing",2022-10-01,42.0
"lóng zhōu wān, Chongqing",2022-09-30,68.0
"lóng zhōu wān, Chongqing",2022-09-29,51.0
"lóng zhōu wān, Chongqing",2022-09-28,62.0
"lóng zhōu wān, Chongqing",2022-09-27,66.0
"lóng zhōu wān, Chongqing",2022-09-26,59.0
"lóng zhōu wān, Chongqing",2022-09-25,57.0
"lóng zhōu wān, Chongqing",2022-09-24,56.0
"lóng zhōu wān, Chongqing",2022-09-23,70.0
"lóng zhōu wān, Chongqing",2022-09-22,47.0
"lóng zhōu wān, Chongqing",2022-09-21,98.0
"lóng zhōu wān, Chongqing",2022-09-20,122.0
"lóng zhōu wān, Chongqing",2022-09-19,148.0
"lóng zhōu wān, Chongqing",2022-09-18,153.0
"lóng zhōu wān, Chongqing",2022-09-17,155.0
"lóng zhōu wān, Chongqing",2022-09-16,138.0
"lóng zhōu wān, Chongqing",2022-09-15,84.0
"lóng zhōu wān, Chongqing",2022-09-14,83.0
"lóng zhōu wān, Chongqing",2022-09-13,105.0
"lóng zhōu wān, Chongqing",2022-09-12,93.0
"lóng zhōu wān, Chongqing",2022-09-11,96.0
"lóng zhōu wān, Chongqing",2022-09-10,127.0
"lóng zhōu wān, Chongqing",2022-09-09,144.0
"lóng zhōu wān, Chongqing",2022-09-08,113.0
"lóng zhōu wān, Chongqing",2022-09-07,115.0
"lóng zhōu wān, Chongqing",2022-09-06,102.0
"lóng zhōu wān, Chongqing",2022-09-05,89.0
"lóng zhōu wān, Chongqing",2022-09-04,58.0
"lóng zhōu wān, Chongqing",2022-09-03,76.0
"lóng zhōu wān, Chongqing",2022-09-02,73.0
"lóng zhōu wān, Chongqing",2022-09-01,31.0
"lóng zhōu wān, Chongqing",2022-08-31,52.0
"lóng zhōu wān, Chongqing",2022-08-30,50.0
"lóng zhōu wān, Chongqing",2022-08-29,47.0
"lóng zhōu wān, Chongqing",2022-08-28,35.0
"lóng zhōu wān, Chongqing",2022-08-27,49.0
"lóng zhōu wān, Chongqing",2022-08-26,45.0
"lóng zhōu wān, Chongqing",2022-08-25,56.0
"lóng zhōu wān, Chongqing",2022-08-24,45.0
"lóng zhōu wān, Chongqing",2022-08-23,105.0
"lóng zhōu wān, Chongqing",2022-08-22,53.0
"lóng zhōu wān, Chongqing",2022-08-21,40.0
"lóng zhōu wān, Chongqing",2022-08-20,41.0
