location,date,aqi
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-16,36.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-15,35.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-14,32.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-13,70.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-12,70.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-11,61.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-10,59.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-09,53.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-08,49.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-07,40.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-05,45.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-04,48.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-03,41.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-02,35.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-11-01,35.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-31,35.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-30,37.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-29,44.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-28,42.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-27,24.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-26,31.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-25,43.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-24,51.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-23,48.0
"Mitsuhashimachi Imakoga, Yanagawa, Fukuoka, Japan",2022-10-22,40.0
