location,date,aqi
"City Environmental Monitoring Station, Ji'an",2022-11-16,72.0
"City Environmental Monitoring Station, Ji'an",2022-11-15,79.0
"City Environmental Monitoring Station, Ji'an",2022-11-14,101.0
"City Environmental Monitoring Station, Ji'an",2022-11-13,90.0
"City Environmental Monitoring Station, Ji'an",2022-11-12,85.0
"City Environmental Monitoring Station, Ji'an",2022-11-11,95.0
"City Environmental Monitoring Station, Ji'an",2022-11-10,93.0
"City Environmental Monitoring Station, Ji'an",2022-11-09,100.0
"City Environmental Monitoring Station, Ji'an",2022-11-08,95.0
"City Environmental Monitoring Station, Ji'an",2022-11-07,105.0
"City Environmental Monitoring Station, Ji'an",2022-11-05,78.0
"City Environmental Monitoring Station, Ji'an",2022-11-04,79.0
"City Environmental Monitoring Station, Ji'an",2022-11-03,85.0
"City Environmental Monitoring Station, Ji'an",2022-11-02,77.0
"City Environmental Monitoring Station, Ji'an",2022-11-01,49.0
"City Environmental Monitoring Station, Ji'an",2022-10-31,88.0
"City Environmental Monitoring Station, Ji'an",2022-10-30,78.0
"City Environmental Monitoring Station, Ji'an",2022-10-29,97.0
"City Environmental Monitoring Station, Ji'an",2022-10-28,98.0
"City Environmental Monitoring Station, Ji'an",2022-10-27,100.0
"City Environmental Monitoring Station, Ji'an",2022-10-26,93.0
"City Environmental Monitoring Station, Ji'an",2022-10-25,120.0
"City Environmental Monitoring Station, Ji'an",2022-10-24,105.0
"City Environmental Monitoring Station, Ji'an",2022-10-23,100.0
"City Environmental Monitoring Station, Ji'an",2022-10-22,97.0
"City Environmental Monitoring Station, Ji'an",2022-10-21,82.0
"City Environmental Monitoring Station, Ji'an",2022-10-20,75.0
"City Environmental Monitoring Station, Ji'an",2022-10-19,79.0
"City Environmental Monitoring Station, Ji'an",2022-10-18,86.0
"City Environmental Monitoring Station, Ji'an",2022-10-17,85.0
"City Environmental Monitoring Station, Ji'an",2022-10-16,90.0
"City Environmental Monitoring Station, Ji'an",2022-10-15,83.0
"City Environmental Monitoring Station, Ji'an",2022-10-14,80.0
"City Environmental Monitoring Station, Ji'an",2022-10-13,73.0
"City Environmental Monitoring Station, Ji'an",2022-10-12,65.0
"City Environmental Monitoring Station, Ji'an",2022-10-11,63.0
"City Environmental Monitoring Station, Ji'an",2022-10-10,64.0
"City Environmental Monitoring Station, Ji'an",2022-10-09,76.0
"City Environmental Monitoring Station, Ji'an",2022-10-08,57.0
"City Environmental Monitoring Station, Ji'an",2022-10-07,76.0
"City Environmental Monitoring Station, Ji'an",2022-10-06,82.0
"City Environmental Monitoring Station, Ji'an",2022-10-05,84.0
"City Environmental Monitoring Station, Ji'an",2022-10-04,62.0
"City Environmental Monitoring Station, Ji'an",2022-10-03,52.0
"City Environmental Monitoring Station, Ji'an",2022-10-02,60.0
"City Environmental Monitoring Station, Ji'an",2022-10-01,34.0
"City Environmental Monitoring Station, Ji'an",2022-09-30,105.0
"City Environmental Monitoring Station, Ji'an",2022-09-29,112.0
"City Environmental Monitoring Station, Ji'an",2022-09-28,130.0
"City Environmental Monitoring Station, Ji'an",2022-09-27,103.0
"City Environmental Monitoring Station, Ji'an",2022-09-26,116.0
"City Environmental Monitoring Station, Ji'an",2022-09-25,112.0
"City Environmental Monitoring Station, Ji'an",2022-09-24,112.0
"City Environmental Monitoring Station, Ji'an",2022-09-23,84.0
"City Environmental Monitoring Station, Ji'an",2022-09-22,84.0
"City Environmental Monitoring Station, Ji'an",2022-09-21,85.0
"City Environmental Monitoring Station, Ji'an",2022-09-20,97.0
"City Environmental Monitoring Station, Ji'an",2022-09-19,125.0
"City Environmental Monitoring Station, Ji'an",2022-09-18,124.0
"City Environmental Monitoring Station, Ji'an",2022-09-17,108.0
"City Environmental Monitoring Station, Ji'an",2022-09-16,78.0
"City Environmental Monitoring Station, Ji'an",2022-09-15,77.0
"City Environmental Monitoring Station, Ji'an",2022-09-14,107.0
"City Environmental Monitoring Station, Ji'an",2022-09-13,113.0
"City Environmental Monitoring Station, Ji'an",2022-09-12,129.0
"City Environmental Monitoring Station, Ji'an",2022-09-11,125.0
"City Environmental Monitoring Station, Ji'an",2022-09-10,101.0
"City Environmental Monitoring Station, Ji'an",2022-09-09,93.0
"City Environmental Monitoring Station, Ji'an",2022-09-08,76.0
"City Environmental Monitoring Station, Ji'an",2022-09-07,95.0
"City Environmental Monitoring Station, Ji'an",2022-09-06,99.0
"City Environmental Monitoring Station, Ji'an",2022-09-04,81.0
"City Environmental Monitoring Station, Ji'an",2022-09-03,100.0
"City Environmental Monitoring Station, Ji'an",2022-09-02,80.0
"City Environmental Monitoring Station, Ji'an",2022-09-01,40.0
"City Environmental Monitoring Station, Ji'an",2022-08-31,84.0
"City Environmental Monitoring Station, Ji'an",2022-08-30,76.0
"City Environmental Monitoring Station, Ji'an",2022-08-29,99.0
"City Environmental Monitoring Station, Ji'an",2022-08-28,61.0
"City Environmental Monitoring Station, Ji'an",2022-08-27,41.0
"City Environmental Monitoring Station, Ji'an",2022-08-26,55.0
"City Environmental Monitoring Station, Ji'an",2022-08-25,89.0
"City Environmental Monitoring Station, Ji'an",2022-08-24,73.0
"City Environmental Monitoring Station, Ji'an",2022-08-23,62.0
"City Environmental Monitoring Station, Ji'an",2022-08-22,47.0
"City Environmental Monitoring Station, Ji'an",2022-08-21,39.0
"City Environmental Monitoring Station, Ji'an",2022-08-20,59.0
"City Environmental Monitoring Station, Ji'an",2022-08-19,72.0
"City Environmental Monitoring Station, Ji'an",2022-08-18,34.0
"City Environmental Monitoring Station, Ji'an",2022-08-17,78.0
"City Environmental Monitoring Station, Ji'an",2022-08-16,71.0
"City Environmental Monitoring Station, Ji'an",2022-08-15,58.0
"City Environmental Monitoring Station, Ji'an",2022-08-14,47.0
"City Environmental Monitoring Station, Ji'an",2022-08-13,45.0
"City Environmental Monitoring Station, Ji'an",2022-08-12,50.0
"City Environmental Monitoring Station, Ji'an",2022-08-11,54.0
"City Environmental Monitoring Station, Ji'an",2022-08-10,45.0
"City Environmental Monitoring Station, Ji'an",2022-08-09,44.0
"City Environmental Monitoring Station, Ji'an",2022-08-08,49.0
"City Environmental Monitoring Station, Ji'an",2022-08-07,33.0
"City Environmental Monitoring Station, Ji'an",2022-08-06,27.0
"City Environmental Monitoring Station, Ji'an",2022-08-05,49.0
"City Environmental Monitoring Station, Ji'an",2022-08-04,75.0
"City Environmental Monitoring Station, Ji'an",2022-08-03,100.0
"City Environmental Monitoring Station, Ji'an",2022-08-02,86.0
"City Environmental Monitoring Station, Ji'an",2022-07-31,64.0
"City Environmental Monitoring Station, Ji'an",2022-07-30,92.0
"City Environmental Monitoring Station, Ji'an",2022-07-29,94.0
"City Environmental Monitoring Station, Ji'an",2022-07-28,99.0
"City Environmental Monitoring Station, Ji'an",2022-07-27,83.0
"City Environmental Monitoring Station, Ji'an",2022-07-26,63.0
"City Environmental Monitoring Station, Ji'an",2022-07-25,70.0
"City Environmental Monitoring Station, Ji'an",2022-07-24,62.0
"City Environmental Monitoring Station, Ji'an",2022-07-23,62.0
"City Environmental Monitoring Station, Ji'an",2022-07-22,58.0
"City Environmental Monitoring Station, Ji'an",2022-07-21,50.0
"City Environmental Monitoring Station, Ji'an",2022-07-20,51.0
"City Environmental Monitoring Station, Ji'an",2022-07-19,55.0
"City Environmental Monitoring Station, Ji'an",2022-07-18,70.0
"City Environmental Monitoring Station, Ji'an",2022-07-17,76.0
"City Environmental Monitoring Station, Ji'an",2022-07-16,80.0
"City Environmental Monitoring Station, Ji'an",2022-07-15,75.0
"City Environmental Monitoring Station, Ji'an",2022-07-14,78.0
"City Environmental Monitoring Station, Ji'an",2022-07-13,69.0
"City Environmental Monitoring Station, Ji'an",2022-07-12,62.0
"City Environmental Monitoring Station, Ji'an",2022-07-11,55.0
"City Environmental Monitoring Station, Ji'an",2022-07-10,53.0
"City Environmental Monitoring Station, Ji'an",2022-07-09,42.0
"City Environmental Monitoring Station, Ji'an",2022-07-08,39.0
"City Environmental Monitoring Station, Ji'an",2022-07-07,47.0
"City Environmental Monitoring Station, Ji'an",2022-07-06,33.0
"City Environmental Monitoring Station, Ji'an",2022-07-05,26.0
"City Environmental Monitoring Station, Ji'an",2022-07-04,29.0
"City Environmental Monitoring Station, Ji'an",2022-07-03,45.0
"City Environmental Monitoring Station, Ji'an",2022-07-02,64.0
"City Environmental Monitoring Station, Ji'an",2022-07-01,31.0
"City Environmental Monitoring Station, Ji'an",2022-06-30,58.0
"City Environmental Monitoring Station, Ji'an",2022-06-29,50.0
"City Environmental Monitoring Station, Ji'an",2022-06-28,45.0
"City Environmental Monitoring Station, Ji'an",2022-06-27,59.0
"City Environmental Monitoring Station, Ji'an",2022-06-26,67.0
"City Environmental Monitoring Station, Ji'an",2022-06-25,56.0
"City Environmental Monitoring Station, Ji'an",2022-06-24,54.0
"City Environmental Monitoring Station, Ji'an",2022-06-23,47.0
"City Environmental Monitoring Station, Ji'an",2022-06-22,51.0
"City Environmental Monitoring Station, Ji'an",2022-06-21,47.0
"City Environmental Monitoring Station, Ji'an",2022-06-20,35.0
"City Environmental Monitoring Station, Ji'an",2022-06-19,45.0
"City Environmental Monitoring Station, Ji'an",2022-06-18,54.0
"City Environmental Monitoring Station, Ji'an",2022-06-17,62.0
"City Environmental Monitoring Station, Ji'an",2022-06-16,74.0
"City Environmental Monitoring Station, Ji'an",2022-06-15,62.0
"City Environmental Monitoring Station, Ji'an",2022-06-14,50.0
"City Environmental Monitoring Station, Ji'an",2022-06-13,64.0
"City Environmental Monitoring Station, Ji'an",2022-06-12,49.0
"City Environmental Monitoring Station, Ji'an",2022-06-11,46.0
"City Environmental Monitoring Station, Ji'an",2022-06-10,39.0
"City Environmental Monitoring Station, Ji'an",2022-06-09,43.0
"City Environmental Monitoring Station, Ji'an",2022-06-08,108.0
"City Environmental Monitoring Station, Ji'an",2022-06-07,65.0
"City Environmental Monitoring Station, Ji'an",2022-06-06,67.0
"City Environmental Monitoring Station, Ji'an",2022-06-05,47.0
"City Environmental Monitoring Station, Ji'an",2022-06-04,58.0
"City Environmental Monitoring Station, Ji'an",2022-06-03,61.0
"City Environmental Monitoring Station, Ji'an",2022-06-02,61.0
"City Environmental Monitoring Station, Ji'an",2022-06-01,29.0
"City Environmental Monitoring Station, Ji'an",2022-05-31,58.0
"City Environmental Monitoring Station, Ji'an",2022-05-30,72.0
"City Environmental Monitoring Station, Ji'an",2022-05-29,68.0
"City Environmental Monitoring Station, Ji'an",2022-05-28,81.0
"City Environmental Monitoring Station, Ji'an",2022-05-27,56.0
"City Environmental Monitoring Station, Ji'an",2022-05-26,75.0
"City Environmental Monitoring Station, Ji'an",2022-05-25,54.0
"City Environmental Monitoring Station, Ji'an",2022-05-24,57.0
"City Environmental Monitoring Station, Ji'an",2022-05-23,92.0
"City Environmental Monitoring Station, Ji'an",2022-05-22,99.0
"City Environmental Monitoring Station, Ji'an",2022-05-21,121.0
"City Environmental Monitoring Station, Ji'an",2022-05-20,110.0
"City Environmental Monitoring Station, Ji'an",2022-05-19,85.0
"City Environmental Monitoring Station, Ji'an",2022-05-18,91.0
"City Environmental Monitoring Station, Ji'an",2022-05-17,72.0
"City Environmental Monitoring Station, Ji'an",2022-05-16,71.0
"City Environmental Monitoring Station, Ji'an",2022-05-15,80.0
"City Environmental Monitoring Station, Ji'an",2022-05-14,66.0
"City Environmental Monitoring Station, Ji'an",2022-05-13,91.0
"City Environmental Monitoring Station, Ji'an",2022-05-12,76.0
"City Environmental Monitoring Station, Ji'an",2022-05-11,57.0
"City Environmental Monitoring Station, Ji'an",2022-05-10,61.0
"City Environmental Monitoring Station, Ji'an",2022-05-09,83.0
"City Environmental Monitoring Station, Ji'an",2022-05-08,136.0
"City Environmental Monitoring Station, Ji'an",2022-05-07,102.0
"City Environmental Monitoring Station, Ji'an",2022-05-06,89.0
"City Environmental Monitoring Station, Ji'an",2022-05-05,87.0
"City Environmental Monitoring Station, Ji'an",2022-05-04,82.0
"City Environmental Monitoring Station, Ji'an",2022-05-03,86.0
"City Environmental Monitoring Station, Ji'an",2022-05-02,90.0
"City Environmental Monitoring Station, Ji'an",2022-05-01,39.0
"City Environmental Monitoring Station, Ji'an",2022-04-30,38.0
"City Environmental Monitoring Station, Ji'an",2022-04-29,68.0
"City Environmental Monitoring Station, Ji'an",2022-04-28,65.0
"City Environmental Monitoring Station, Ji'an",2022-04-27,40.0
"City Environmental Monitoring Station, Ji'an",2022-04-26,52.0
"City Environmental Monitoring Station, Ji'an",2022-04-25,73.0
"City Environmental Monitoring Station, Ji'an",2022-04-24,49.0
"City Environmental Monitoring Station, Ji'an",2022-04-23,69.0
"City Environmental Monitoring Station, Ji'an",2022-04-22,76.0
"City Environmental Monitoring Station, Ji'an",2022-04-21,101.0
"City Environmental Monitoring Station, Ji'an",2022-04-20,76.0
"City Environmental Monitoring Station, Ji'an",2022-04-19,59.0
"City Environmental Monitoring Station, Ji'an",2022-04-18,62.0
"City Environmental Monitoring Station, Ji'an",2022-04-17,39.0
"City Environmental Monitoring Station, Ji'an",2022-04-16,61.0
"City Environmental Monitoring Station, Ji'an",2022-04-15,52.0
"City Environmental Monitoring Station, Ji'an",2022-04-14,59.0
"City Environmental Monitoring Station, Ji'an",2022-04-13,92.0
"City Environmental Monitoring Station, Ji'an",2022-04-12,109.0
"City Environmental Monitoring Station, Ji'an",2022-04-11,95.0
"City Environmental Monitoring Station, Ji'an",2022-04-10,88.0
"City Environmental Monitoring Station, Ji'an",2022-04-09,83.0
"City Environmental Monitoring Station, Ji'an",2022-04-08,92.0
"City Environmental Monitoring Station, Ji'an",2022-04-07,101.0
"City Environmental Monitoring Station, Ji'an",2022-04-06,97.0
"City Environmental Monitoring Station, Ji'an",2022-04-05,83.0
"City Environmental Monitoring Station, Ji'an",2022-04-04,81.0
"City Environmental Monitoring Station, Ji'an",2022-04-03,61.0
"City Environmental Monitoring Station, Ji'an",2022-04-02,72.0
"City Environmental Monitoring Station, Ji'an",2022-04-01,36.0
