location,date,aqi
"Schwimmbadstraße, Trostberg, Germany",2018-01-10,17.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-09,17.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-08,14.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-07,11.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-06,14.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-05,27.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-04,31.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-03,32.0
"Schwimmbadstraße, Trostberg, Germany",2018-01-02,29.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-30,30.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-29,21.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-28,21.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-27,19.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-26,14.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-25,10.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-24,14.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-23,14.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-22,18.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-21,20.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-20,17.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-19,17.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-18,21.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-17,18.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-16,19.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-15,26.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-14,32.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-13,17.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-12,25.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-11,23.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-10,27.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-08,22.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-07,17.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-06,22.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-05,19.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-04,24.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-02,15.0
"Schwimmbadstraße, Trostberg, Germany",2017-12-01,14.0
"Schwimmbadstraße, Trostberg, Germany",2017-11-30,18.0
"Schwimmbadstraße, Trostberg, Germany",2017-11-29,16.0
"Schwimmbadstraße, Trostberg, Germany",2017-11-28,21.0
"Schwimmbadstraße, Trostberg, Germany",2017-11-27,23.0
