location,date,aqi
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-16,142.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-15,126.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-14,53.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-13,91.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-12,202.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-11,255.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-10,209.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-09,161.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-08,107.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-05,80.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-04,90.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-03,156.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-02,64.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-11-01,132.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-31,137.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-30,92.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-29,59.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-28,62.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-27,126.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-26,143.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-25,132.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-24,112.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-23,111.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-22,152.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-21,122.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-20,136.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-19,76.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-18,49.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-17,102.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-16,185.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-15,170.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-14,160.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-13,135.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-12,78.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-11,47.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-10,63.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-09,95.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-08,126.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-07,90.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-06,84.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-05,37.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-04,51.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-03,49.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-02,124.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-10-01,59.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-30,128.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-29,124.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-28,131.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-27,115.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-26,121.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-25,77.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-24,49.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-23,76.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-22,75.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-21,70.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-20,53.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-19,92.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-18,90.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-17,86.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-16,71.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-15,100.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-14,118.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-13,112.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-12,97.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-11,128.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-10,123.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-09,97.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-08,79.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-07,64.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-06,67.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-05,95.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-04,75.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-03,73.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-02,77.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-09-01,99.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-31,108.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-30,64.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-29,52.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-28,39.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-27,84.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-26,78.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-25,58.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-24,45.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-23,63.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-22,72.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-21,77.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-20,97.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-19,79.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-18,56.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-17,57.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-16,53.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-15,55.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-14,79.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-13,104.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-12,108.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-11,54.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-10,42.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-09,56.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-08,62.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-07,90.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-06,118.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-05,99.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-04,88.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-03,107.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-02,71.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-08-01,58.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-31,92.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-30,62.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-29,58.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-28,84.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-27,76.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-26,88.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-25,84.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-24,77.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-23,87.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-22,80.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-21,76.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-20,86.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-19,67.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-18,68.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-17,76.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-16,107.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-15,81.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-14,86.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-13,45.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-12,86.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-11,60.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-10,60.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-09,93.0
"Hebei Institute of Water Conservancy and Electric Power, Cangzhou",2022-07-08,101.0
