location,date,aqi
"Tianhu, Guangzhou",2022-11-16,129.0
"Tianhu, Guangzhou",2022-11-15,96.0
"Tianhu, Guangzhou",2022-11-14,95.0
"Tianhu, Guangzhou",2022-11-13,130.0
"Tianhu, Guangzhou",2022-11-12,106.0
"Tianhu, Guangzhou",2022-11-11,92.0
"Tianhu, Guangzhou",2022-11-10,67.0
"Tianhu, Guangzhou",2022-11-09,50.0
"Tianhu, Guangzhou",2022-11-08,28.0
"Tianhu, Guangzhou",2022-11-07,32.0
"Tianhu, Guangzhou",2022-11-05,29.0
"Tianhu, Guangzhou",2022-11-04,29.0
"Tianhu, Guangzhou",2022-11-03,48.0
"Tianhu, Guangzhou",2022-11-02,45.0
"Tianhu, Guangzhou",2022-11-01,68.0
"Tianhu, Guangzhou",2022-10-31,55.0
"Tianhu, Guangzhou",2022-10-30,56.0
"Tianhu, Guangzhou",2022-10-29,90.0
"Tianhu, Guangzhou",2022-10-28,80.0
"Tianhu, Guangzhou",2022-10-27,92.0
"Tianhu, Guangzhou",2022-10-26,98.0
"Tianhu, Guangzhou",2022-10-25,76.0
"Tianhu, Guangzhou",2022-10-08,75.0
"Tianhu, Guangzhou",2022-10-07,47.0
"Tianhu, Guangzhou",2022-10-06,78.0
"Tianhu, Guangzhou",2022-10-05,53.0
"Tianhu, Guangzhou",2022-10-04,50.0
"Tianhu, Guangzhou",2022-10-03,34.0
"Tianhu, Guangzhou",2022-09-30,42.0
"Tianhu, Guangzhou",2022-09-29,48.0
"Tianhu, Guangzhou",2022-09-28,78.0
"Tianhu, Guangzhou",2022-09-27,86.0
"Tianhu, Guangzhou",2022-09-26,92.0
"Tianhu, Guangzhou",2022-09-25,86.0
"Tianhu, Guangzhou",2022-09-24,87.0
"Tianhu, Guangzhou",2022-09-23,77.0
"Tianhu, Guangzhou",2022-09-22,74.0
"Tianhu, Guangzhou",2022-09-21,50.0
"Tianhu, Guangzhou",2021-01-01,60.0
"Tianhu, Guangzhou",2020-12-31,40.0
"Tianhu, Guangzhou",2020-12-30,100.0
"Tianhu, Guangzhou",2020-12-29,97.0
"Tianhu, Guangzhou",2020-12-28,138.0
"Tianhu, Guangzhou",2020-12-27,141.0
"Tianhu, Guangzhou",2020-12-26,114.0
"Tianhu, Guangzhou",2020-12-25,76.0
"Tianhu, Guangzhou",2020-12-24,109.0
"Tianhu, Guangzhou",2020-12-23,115.0
"Tianhu, Guangzhou",2020-12-22,122.0
"Tianhu, Guangzhou",2020-12-21,111.0
"Tianhu, Guangzhou",2020-12-20,79.0
"Tianhu, Guangzhou",2020-12-19,68.0
"Tianhu, Guangzhou",2020-12-18,65.0
"Tianhu, Guangzhou",2020-12-17,54.0
"Tianhu, Guangzhou",2020-12-16,28.0
"Tianhu, Guangzhou",2020-12-15,36.0
"Tianhu, Guangzhou",2020-12-14,131.0
"Tianhu, Guangzhou",2020-12-13,122.0
"Tianhu, Guangzhou",2020-12-12,116.0
"Tianhu, Guangzhou",2020-12-11,106.0
"Tianhu, Guangzhou",2020-12-10,109.0
"Tianhu, Guangzhou",2020-12-09,98.0
"Tianhu, Guangzhou",2020-12-08,118.0
"Tianhu, Guangzhou",2020-12-07,105.0
"Tianhu, Guangzhou",2020-12-06,94.0
"Tianhu, Guangzhou",2020-12-05,72.0
"Tianhu, Guangzhou",2020-12-04,71.0
"Tianhu, Guangzhou",2020-12-03,76.0
"Tianhu, Guangzhou",2020-12-02,69.0
"Tianhu, Guangzhou",2020-12-01,64.0
"Tianhu, Guangzhou",2020-11-30,59.0
"Tianhu, Guangzhou",2020-11-29,52.0
"Tianhu, Guangzhou",2020-11-28,55.0
"Tianhu, Guangzhou",2020-11-27,88.0
"Tianhu, Guangzhou",2020-11-26,65.0
"Tianhu, Guangzhou",2020-11-25,62.0
"Tianhu, Guangzhou",2020-11-24,52.0
"Tianhu, Guangzhou",2020-11-23,58.0
"Tianhu, Guangzhou",2020-11-22,61.0
"Tianhu, Guangzhou",2020-11-21,84.0
"Tianhu, Guangzhou",2020-11-20,50.0
"Tianhu, Guangzhou",2020-11-19,68.0
"Tianhu, Guangzhou",2020-11-18,85.0
"Tianhu, Guangzhou",2020-11-17,92.0
"Tianhu, Guangzhou",2020-11-16,95.0
"Tianhu, Guangzhou",2020-11-15,95.0
"Tianhu, Guangzhou",2020-11-14,80.0
"Tianhu, Guangzhou",2020-11-13,87.0
"Tianhu, Guangzhou",2020-11-12,96.0
"Tianhu, Guangzhou",2020-11-11,105.0
"Tianhu, Guangzhou",2020-11-10,88.0
"Tianhu, Guangzhou",2020-11-09,98.0
"Tianhu, Guangzhou",2020-11-08,106.0
"Tianhu, Guangzhou",2020-11-07,120.0
"Tianhu, Guangzhou",2020-11-06,115.0
"Tianhu, Guangzhou",2020-11-05,118.0
"Tianhu, Guangzhou",2020-11-04,85.0
"Tianhu, Guangzhou",2020-11-03,116.0
"Tianhu, Guangzhou",2020-11-02,113.0
"Tianhu, Guangzhou",2020-10-31,99.0
"Tianhu, Guangzhou",2020-10-30,109.0
"Tianhu, Guangzhou",2020-10-29,111.0
"Tianhu, Guangzhou",2020-10-28,94.0
"Tianhu, Guangzhou",2020-10-27,103.0
"Tianhu, Guangzhou",2020-10-26,91.0
"Tianhu, Guangzhou",2020-10-25,83.0
"Tianhu, Guangzhou",2020-10-24,89.0
"Tianhu, Guangzhou",2020-10-23,62.0
"Tianhu, Guangzhou",2020-10-22,72.0
"Tianhu, Guangzhou",2020-10-21,66.0
"Tianhu, Guangzhou",2020-10-20,47.0
"Tianhu, Guangzhou",2020-10-19,53.0
"Tianhu, Guangzhou",2020-10-18,39.0
"Tianhu, Guangzhou",2020-10-17,85.0
"Tianhu, Guangzhou",2020-10-16,81.0
"Tianhu, Guangzhou",2020-10-15,56.0
"Tianhu, Guangzhou",2020-10-14,87.0
"Tianhu, Guangzhou",2020-10-13,93.0
"Tianhu, Guangzhou",2020-10-12,90.0
"Tianhu, Guangzhou",2020-10-11,66.0
"Tianhu, Guangzhou",2020-10-10,97.0
"Tianhu, Guangzhou",2020-10-03,72.0
"Tianhu, Guangzhou",2020-10-02,46.0
"Tianhu, Guangzhou",2020-09-30,74.0
"Tianhu, Guangzhou",2020-09-29,49.0
"Tianhu, Guangzhou",2020-09-28,26.0
"Tianhu, Guangzhou",2020-09-27,77.0
"Tianhu, Guangzhou",2020-09-26,56.0
"Tianhu, Guangzhou",2020-09-25,45.0
"Tianhu, Guangzhou",2020-09-24,62.0
"Tianhu, Guangzhou",2020-09-23,61.0
"Tianhu, Guangzhou",2020-09-22,49.0
"Tianhu, Guangzhou",2020-09-21,41.0
"Tianhu, Guangzhou",2020-09-20,32.0
"Tianhu, Guangzhou",2020-09-19,49.0
"Tianhu, Guangzhou",2020-09-18,40.0
"Tianhu, Guangzhou",2020-09-17,43.0
"Tianhu, Guangzhou",2020-09-16,39.0
"Tianhu, Guangzhou",2020-09-15,63.0
"Tianhu, Guangzhou",2020-09-14,45.0
"Tianhu, Guangzhou",2020-09-13,31.0
"Tianhu, Guangzhou",2020-09-12,48.0
"Tianhu, Guangzhou",2020-09-11,68.0
"Tianhu, Guangzhou",2020-09-10,52.0
"Tianhu, Guangzhou",2020-09-09,47.0
"Tianhu, Guangzhou",2020-09-08,57.0
"Tianhu, Guangzhou",2020-09-07,85.0
"Tianhu, Guangzhou",2020-09-06,76.0
"Tianhu, Guangzhou",2020-09-05,121.0
"Tianhu, Guangzhou",2020-09-04,111.0
"Tianhu, Guangzhou",2020-09-03,103.0
"Tianhu, Guangzhou",2020-09-02,83.0
"Tianhu, Guangzhou",2020-09-01,86.0
"Tianhu, Guangzhou",2020-08-31,114.0
"Tianhu, Guangzhou",2020-08-30,108.0
"Tianhu, Guangzhou",2020-08-29,92.0
"Tianhu, Guangzhou",2020-08-28,54.0
"Tianhu, Guangzhou",2020-08-27,43.0
"Tianhu, Guangzhou",2020-08-26,66.0
"Tianhu, Guangzhou",2020-08-25,81.0
"Tianhu, Guangzhou",2020-08-24,80.0
"Tianhu, Guangzhou",2020-08-23,95.0
"Tianhu, Guangzhou",2020-08-22,74.0
"Tianhu, Guangzhou",2020-08-21,41.0
"Tianhu, Guangzhou",2020-08-20,19.0
"Tianhu, Guangzhou",2020-08-19,53.0
"Tianhu, Guangzhou",2020-08-18,58.0
"Tianhu, Guangzhou",2020-08-17,49.0
"Tianhu, Guangzhou",2020-08-16,43.0
"Tianhu, Guangzhou",2020-08-15,33.0
"Tianhu, Guangzhou",2020-08-14,34.0
"Tianhu, Guangzhou",2020-08-13,43.0
"Tianhu, Guangzhou",2020-08-09,48.0
"Tianhu, Guangzhou",2020-08-08,51.0
"Tianhu, Guangzhou",2020-08-07,38.0
"Tianhu, Guangzhou",2020-08-06,31.0
"Tianhu, Guangzhou",2020-08-05,48.0
"Tianhu, Guangzhou",2020-08-04,21.0
"Tianhu, Guangzhou",2020-08-03,15.0
"Tianhu, Guangzhou",2020-08-02,17.0
"Tianhu, Guangzhou",2020-08-01,32.0
"Tianhu, Guangzhou",2020-07-31,36.0
"Tianhu, Guangzhou",2020-07-30,42.0
"Tianhu, Guangzhou",2020-07-29,36.0
"Tianhu, Guangzhou",2020-07-28,33.0
"Tianhu, Guangzhou",2020-07-27,56.0
"Tianhu, Guangzhou",2020-07-26,59.0
"Tianhu, Guangzhou",2020-07-25,47.0
"Tianhu, Guangzhou",2020-07-24,43.0
