location,date,aqi
"Delmas MP, South Africa",2022-04-27,44.0
"Delmas MP, South Africa",2022-04-26,74.0
"Delmas MP, South Africa",2022-04-25,63.0
"Delmas MP, South Africa",2022-04-24,45.0
"Delmas MP, South Africa",2022-04-17,45.0
"Delmas MP, South Africa",2022-04-16,45.0
"Delmas MP, South Africa",2022-04-15,45.0
"Delmas MP, South Africa",2022-04-14,39.0
"Delmas MP, South Africa",2022-04-13,38.0
"Delmas MP, South Africa",2022-04-12,13.0
"Delmas MP, South Africa",2022-04-11,15.0
"Delmas MP, South Africa",2022-04-10,26.0
"Delmas MP, South Africa",2022-04-09,29.0
"Delmas MP, South Africa",2022-04-08,40.0
"Delmas MP, South Africa",2022-03-31,46.0
"Delmas MP, South Africa",2022-03-30,40.0
"Delmas MP, South Africa",2022-03-29,41.0
"Delmas MP, South Africa",2022-03-25,41.0
"Delmas MP, South Africa",2022-03-24,31.0
"Delmas MP, South Africa",2022-03-23,48.0
"Delmas MP, South Africa",2022-03-21,52.0
"Delmas MP, South Africa",2022-03-20,31.0
"Delmas MP, South Africa",2022-03-19,19.0
"Delmas MP, South Africa",2022-03-18,11.0
"Delmas MP, South Africa",2022-03-17,23.0
"Delmas MP, South Africa",2022-03-16,22.0
"Delmas MP, South Africa",2022-03-12,14.0
"Delmas MP, South Africa",2022-03-11,34.0
"Delmas MP, South Africa",2022-03-10,104.0
"Delmas MP, South Africa",2022-03-08,17.0
"Delmas MP, South Africa",2022-03-05,50.0
"Delmas MP, South Africa",2022-03-04,46.0
"Delmas MP, South Africa",2022-03-03,29.0
"Delmas MP, South Africa",2022-02-24,46.0
"Delmas MP, South Africa",2022-02-23,54.0
"Delmas MP, South Africa",2022-02-22,52.0
"Delmas MP, South Africa",2022-02-16,39.0
"Delmas MP, South Africa",2022-02-15,51.0
"Delmas MP, South Africa",2022-02-14,60.0
"Delmas MP, South Africa",2022-02-13,48.0
"Delmas MP, South Africa",2022-02-12,46.0
"Delmas MP, South Africa",2022-02-11,47.0
"Delmas MP, South Africa",2022-02-10,48.0
"Delmas MP, South Africa",2022-02-09,30.0
"Delmas MP, South Africa",2022-02-04,52.0
"Delmas MP, South Africa",2022-02-03,79.0
"Delmas MP, South Africa",2022-02-02,35.0
"Delmas MP, South Africa",2022-02-01,16.0
"Delmas MP, South Africa",2022-01-31,12.0
"Delmas MP, South Africa",2022-01-30,14.0
"Delmas MP, South Africa",2022-01-29,14.0
"Delmas MP, South Africa",2022-01-28,19.0
"Delmas MP, South Africa",2022-01-27,38.0
"Delmas MP, South Africa",2022-01-26,44.0
"Delmas MP, South Africa",2022-01-22,30.0
"Delmas MP, South Africa",2022-01-21,28.0
"Delmas MP, South Africa",2022-01-20,32.0
"Delmas MP, South Africa",2022-01-19,25.0
