location,date,aqi
"Istanbul (Esenler), Turkey",2022-11-16,24.0
"Istanbul (Esenler), Turkey",2022-11-15,26.0
"Istanbul (Esenler), Turkey",2022-11-14,42.0
"Istanbul (Esenler), Turkey",2022-11-13,47.0
"Istanbul (Esenler), Turkey",2022-11-12,45.0
"Istanbul (Esenler), Turkey",2022-11-11,37.0
"Istanbul (Esenler), Turkey",2022-11-10,37.0
"Istanbul (Esenler), Turkey",2022-11-09,32.0
"Istanbul (Esenler), Turkey",2022-11-08,59.0
"Istanbul (Esenler), Turkey",2022-11-07,105.0
"Istanbul (Esenler), Turkey",2022-11-05,59.0
"Istanbul (Esenler), Turkey",2022-11-04,76.0
"Istanbul (Esenler), Turkey",2022-11-03,60.0
"Istanbul (Esenler), Turkey",2022-11-02,57.0
"Istanbul (Esenler), Turkey",2022-11-01,55.0
"Istanbul (Esenler), Turkey",2022-10-31,31.0
"Istanbul (Esenler), Turkey",2022-10-30,32.0
"Istanbul (Esenler), Turkey",2022-10-29,33.0
"Istanbul (Esenler), Turkey",2022-10-28,51.0
"Istanbul (Esenler), Turkey",2022-10-27,82.0
"Istanbul (Esenler), Turkey",2022-10-26,98.0
"Istanbul (Esenler), Turkey",2022-10-25,77.0
"Istanbul (Esenler), Turkey",2022-10-24,49.0
"Istanbul (Esenler), Turkey",2022-10-23,36.0
"Istanbul (Esenler), Turkey",2022-10-22,35.0
"Istanbul (Esenler), Turkey",2022-10-21,51.0
"Istanbul (Esenler), Turkey",2022-10-20,24.0
"Istanbul (Esenler), Turkey",2022-10-19,19.0
"Istanbul (Esenler), Turkey",2022-10-18,19.0
"Istanbul (Esenler), Turkey",2022-10-12,41.0
"Istanbul (Esenler), Turkey",2022-10-11,54.0
"Istanbul (Esenler), Turkey",2022-10-10,32.0
"Istanbul (Esenler), Turkey",2022-10-09,18.0
"Istanbul (Esenler), Turkey",2022-10-08,19.0
"Istanbul (Esenler), Turkey",2022-10-07,23.0
"Istanbul (Esenler), Turkey",2022-10-06,23.0
"Istanbul (Esenler), Turkey",2022-10-05,22.0
"Istanbul (Esenler), Turkey",2022-10-04,32.0
"Istanbul (Esenler), Turkey",2022-10-02,55.0
"Istanbul (Esenler), Turkey",2022-10-01,38.0
"Istanbul (Esenler), Turkey",2022-09-30,39.0
"Istanbul (Esenler), Turkey",2022-09-29,39.0
"Istanbul (Esenler), Turkey",2022-09-28,51.0
"Istanbul (Esenler), Turkey",2022-09-27,58.0
"Istanbul (Esenler), Turkey",2022-09-26,47.0
"Istanbul (Esenler), Turkey",2022-09-25,40.0
"Istanbul (Esenler), Turkey",2022-09-24,24.0
"Istanbul (Esenler), Turkey",2022-09-23,20.0
"Istanbul (Esenler), Turkey",2022-09-22,27.0
"Istanbul (Esenler), Turkey",2022-09-21,24.0
"Istanbul (Esenler), Turkey",2022-09-20,25.0
"Istanbul (Esenler), Turkey",2022-09-19,56.0
"Istanbul (Esenler), Turkey",2022-09-18,38.0
"Istanbul (Esenler), Turkey",2022-09-17,35.0
"Istanbul (Esenler), Turkey",2022-09-16,38.0
"Istanbul (Esenler), Turkey",2022-09-15,30.0
"Istanbul (Esenler), Turkey",2022-09-14,35.0
"Istanbul (Esenler), Turkey",2022-09-13,32.0
"Istanbul (Esenler), Turkey",2022-09-12,50.0
"Istanbul (Esenler), Turkey",2022-09-11,30.0
"Istanbul (Esenler), Turkey",2022-09-10,33.0
"Istanbul (Esenler), Turkey",2022-09-09,20.0
"Istanbul (Esenler), Turkey",2022-09-08,19.0
"Istanbul (Esenler), Turkey",2022-09-07,20.0
"Istanbul (Esenler), Turkey",2022-09-06,49.0
"Istanbul (Esenler), Turkey",2022-09-05,56.0
"Istanbul (Esenler), Turkey",2022-09-04,35.0
"Istanbul (Esenler), Turkey",2022-09-03,37.0
"Istanbul (Esenler), Turkey",2022-09-02,36.0
"Istanbul (Esenler), Turkey",2022-08-31,52.0
"Istanbul (Esenler), Turkey",2022-08-30,58.0
"Istanbul (Esenler), Turkey",2022-08-29,59.0
"Istanbul (Esenler), Turkey",2022-08-28,46.0
"Istanbul (Esenler), Turkey",2022-08-27,40.0
"Istanbul (Esenler), Turkey",2022-08-23,27.0
"Istanbul (Esenler), Turkey",2022-08-22,26.0
"Istanbul (Esenler), Turkey",2022-08-21,30.0
"Istanbul (Esenler), Turkey",2022-08-20,49.0
"Istanbul (Esenler), Turkey",2022-08-19,48.0
"Istanbul (Esenler), Turkey",2022-08-18,38.0
"Istanbul (Esenler), Turkey",2022-08-17,31.0
"Istanbul (Esenler), Turkey",2022-08-16,34.0
"Istanbul (Esenler), Turkey",2022-08-15,32.0
"Istanbul (Esenler), Turkey",2022-08-14,34.0
"Istanbul (Esenler), Turkey",2022-08-13,29.0
"Istanbul (Esenler), Turkey",2022-08-12,28.0
"Istanbul (Esenler), Turkey",2022-08-11,29.0
"Istanbul (Esenler), Turkey",2022-08-10,26.0
"Istanbul (Esenler), Turkey",2022-08-09,30.0
"Istanbul (Esenler), Turkey",2022-08-08,29.0
"Istanbul (Esenler), Turkey",2022-08-07,34.0
"Istanbul (Esenler), Turkey",2022-08-06,30.0
"Istanbul (Esenler), Turkey",2022-08-05,32.0
"Istanbul (Esenler), Turkey",2022-08-04,31.0
"Istanbul (Esenler), Turkey",2022-08-03,32.0
"Istanbul (Esenler), Turkey",2022-08-02,33.0
"Istanbul (Esenler), Turkey",2022-07-31,34.0
"Istanbul (Esenler), Turkey",2022-07-30,35.0
"Istanbul (Esenler), Turkey",2022-07-29,31.0
"Istanbul (Esenler), Turkey",2022-07-28,29.0
"Istanbul (Esenler), Turkey",2022-07-27,31.0
"Istanbul (Esenler), Turkey",2022-07-26,31.0
"Istanbul (Esenler), Turkey",2022-07-25,37.0
"Istanbul (Esenler), Turkey",2022-07-24,34.0
"Istanbul (Esenler), Turkey",2022-07-23,33.0
"Istanbul (Esenler), Turkey",2022-07-22,29.0
"Istanbul (Esenler), Turkey",2022-07-19,30.0
"Istanbul (Esenler), Turkey",2022-07-18,27.0
"Istanbul (Esenler), Turkey",2022-07-17,34.0
"Istanbul (Esenler), Turkey",2022-07-16,31.0
"Istanbul (Esenler), Turkey",2022-07-15,30.0
"Istanbul (Esenler), Turkey",2022-07-14,31.0
"Istanbul (Esenler), Turkey",2022-07-13,34.0
"Istanbul (Esenler), Turkey",2022-07-12,41.0
"Istanbul (Esenler), Turkey",2022-07-11,31.0
"Istanbul (Esenler), Turkey",2022-07-10,31.0
"Istanbul (Esenler), Turkey",2022-07-09,33.0
"Istanbul (Esenler), Turkey",2022-07-08,31.0
"Istanbul (Esenler), Turkey",2022-07-07,31.0
"Istanbul (Esenler), Turkey",2022-07-06,33.0
"Istanbul (Esenler), Turkey",2022-07-05,33.0
"Istanbul (Esenler), Turkey",2022-07-04,30.0
"Istanbul (Esenler), Turkey",2022-07-03,32.0
"Istanbul (Esenler), Turkey",2022-07-02,34.0
"Istanbul (Esenler), Turkey",2022-06-30,27.0
"Istanbul (Esenler), Turkey",2022-06-29,27.0
"Istanbul (Esenler), Turkey",2022-06-28,31.0
"Istanbul (Esenler), Turkey",2022-06-27,35.0
"Istanbul (Esenler), Turkey",2022-06-26,28.0
"Istanbul (Esenler), Turkey",2022-06-25,41.0
"Istanbul (Esenler), Turkey",2022-06-24,42.0
"Istanbul (Esenler), Turkey",2022-06-23,51.0
"Istanbul (Esenler), Turkey",2022-06-22,43.0
"Istanbul (Esenler), Turkey",2022-06-21,34.0
"Istanbul (Esenler), Turkey",2022-06-20,34.0
"Istanbul (Esenler), Turkey",2022-06-19,28.0
"Istanbul (Esenler), Turkey",2022-06-18,29.0
"Istanbul (Esenler), Turkey",2022-06-17,31.0
"Istanbul (Esenler), Turkey",2022-06-16,29.0
"Istanbul (Esenler), Turkey",2022-06-15,33.0
"Istanbul (Esenler), Turkey",2022-06-14,28.0
"Istanbul (Esenler), Turkey",2022-06-13,29.0
"Istanbul (Esenler), Turkey",2022-06-12,37.0
"Istanbul (Esenler), Turkey",2022-06-11,42.0
"Istanbul (Esenler), Turkey",2022-06-10,50.0
"Istanbul (Esenler), Turkey",2022-06-09,39.0
"Istanbul (Esenler), Turkey",2022-06-08,36.0
"Istanbul (Esenler), Turkey",2022-06-07,33.0
"Istanbul (Esenler), Turkey",2022-06-06,33.0
"Istanbul (Esenler), Turkey",2022-06-05,35.0
"Istanbul (Esenler), Turkey",2022-06-04,34.0
"Istanbul (Esenler), Turkey",2022-06-03,34.0
"Istanbul (Esenler), Turkey",2022-06-02,35.0
"Istanbul (Esenler), Turkey",2022-06-01,49.0
"Istanbul (Esenler), Turkey",2022-05-31,49.0
"Istanbul (Esenler), Turkey",2022-05-30,48.0
"Istanbul (Esenler), Turkey",2022-05-29,48.0
"Istanbul (Esenler), Turkey",2022-05-28,55.0
"Istanbul (Esenler), Turkey",2022-05-27,47.0
"Istanbul (Esenler), Turkey",2022-05-26,37.0
"Istanbul (Esenler), Turkey",2022-05-25,35.0
"Istanbul (Esenler), Turkey",2022-05-24,48.0
"Istanbul (Esenler), Turkey",2022-05-23,50.0
"Istanbul (Esenler), Turkey",2022-05-22,37.0
"Istanbul (Esenler), Turkey",2022-05-21,41.0
"Istanbul (Esenler), Turkey",2022-05-20,28.0
"Istanbul (Esenler), Turkey",2022-05-19,50.0
"Istanbul (Esenler), Turkey",2022-05-18,40.0
"Istanbul (Esenler), Turkey",2022-05-17,51.0
"Istanbul (Esenler), Turkey",2022-05-16,56.0
"Istanbul (Esenler), Turkey",2022-05-15,55.0
"Istanbul (Esenler), Turkey",2022-05-14,60.0
"Istanbul (Esenler), Turkey",2022-05-13,61.0
"Istanbul (Esenler), Turkey",2022-05-12,56.0
"Istanbul (Esenler), Turkey",2022-05-11,31.0
"Istanbul (Esenler), Turkey",2022-05-10,31.0
"Istanbul (Esenler), Turkey",2022-05-09,27.0
"Istanbul (Esenler), Turkey",2022-05-07,33.0
"Istanbul (Esenler), Turkey",2022-05-06,29.0
"Istanbul (Esenler), Turkey",2022-05-04,29.0
