location,date,aqi
"Central/Taipower Fushing, Taiwan",2022-11-16,59.0
"Central/Taipower Fushing, Taiwan",2022-11-15,56.0
"Central/Taipower Fushing, Taiwan",2022-11-14,77.0
"Central/Taipower Fushing, Taiwan",2022-11-13,92.0
"Central/Taipower Fushing, Taiwan",2022-11-12,85.0
"Central/Taipower Fushing, Taiwan",2022-11-11,55.0
"Central/Taipower Fushing, Taiwan",2022-11-10,50.0
"Central/Taipower Fushing, Taiwan",2022-11-09,49.0
"Central/Taipower Fushing, Taiwan",2022-11-08,36.0
"Central/Taipower Fushing, Taiwan",2022-11-05,47.0
"Central/Taipower Fushing, Taiwan",2022-11-04,39.0
"Central/Taipower Fushing, Taiwan",2022-11-03,35.0
"Central/Taipower Fushing, Taiwan",2022-11-02,35.0
"Central/Taipower Fushing, Taiwan",2022-10-31,59.0
"Central/Taipower Fushing, Taiwan",2022-10-30,55.0
"Central/Taipower Fushing, Taiwan",2022-10-29,36.0
"Central/Taipower Fushing, Taiwan",2022-10-28,57.0
"Central/Taipower Fushing, Taiwan",2022-10-27,49.0
"Central/Taipower Fushing, Taiwan",2022-10-26,47.0
"Central/Taipower Fushing, Taiwan",2022-10-25,60.0
"Central/Taipower Fushing, Taiwan",2022-10-24,53.0
"Central/Taipower Fushing, Taiwan",2022-10-23,56.0
"Central/Taipower Fushing, Taiwan",2022-10-22,54.0
"Central/Taipower Fushing, Taiwan",2022-10-21,56.0
"Central/Taipower Fushing, Taiwan",2022-10-20,52.0
"Central/Taipower Fushing, Taiwan",2022-10-19,73.0
"Central/Taipower Fushing, Taiwan",2022-10-18,46.0
"Central/Taipower Fushing, Taiwan",2022-10-17,38.0
"Central/Taipower Fushing, Taiwan",2022-10-16,37.0
"Central/Taipower Fushing, Taiwan",2022-10-15,59.0
"Central/Taipower Fushing, Taiwan",2022-10-14,47.0
"Central/Taipower Fushing, Taiwan",2022-10-13,43.0
"Central/Taipower Fushing, Taiwan",2022-10-12,50.0
"Central/Taipower Fushing, Taiwan",2022-10-11,57.0
"Central/Taipower Fushing, Taiwan",2022-10-10,47.0
"Central/Taipower Fushing, Taiwan",2022-10-09,43.0
"Central/Taipower Fushing, Taiwan",2022-10-08,67.0
"Central/Taipower Fushing, Taiwan",2022-10-07,57.0
"Central/Taipower Fushing, Taiwan",2022-10-06,84.0
"Central/Taipower Fushing, Taiwan",2022-10-05,85.0
"Central/Taipower Fushing, Taiwan",2022-10-04,83.0
"Central/Taipower Fushing, Taiwan",2022-10-02,85.0
"Central/Taipower Fushing, Taiwan",2022-10-01,83.0
"Central/Taipower Fushing, Taiwan",2022-09-30,80.0
"Central/Taipower Fushing, Taiwan",2022-09-29,70.0
"Central/Taipower Fushing, Taiwan",2022-09-28,65.0
"Central/Taipower Fushing, Taiwan",2022-09-27,51.0
"Central/Taipower Fushing, Taiwan",2022-09-26,48.0
"Central/Taipower Fushing, Taiwan",2022-09-25,55.0
"Central/Taipower Fushing, Taiwan",2022-09-24,58.0
"Central/Taipower Fushing, Taiwan",2022-09-23,54.0
"Central/Taipower Fushing, Taiwan",2022-09-22,50.0
"Central/Taipower Fushing, Taiwan",2022-09-21,74.0
"Central/Taipower Fushing, Taiwan",2022-09-20,92.0
"Central/Taipower Fushing, Taiwan",2022-09-19,94.0
"Central/Taipower Fushing, Taiwan",2022-09-18,73.0
"Central/Taipower Fushing, Taiwan",2022-09-17,97.0
"Central/Taipower Fushing, Taiwan",2022-09-16,106.0
"Central/Taipower Fushing, Taiwan",2022-09-15,83.0
"Central/Taipower Fushing, Taiwan",2022-09-14,65.0
"Central/Taipower Fushing, Taiwan",2022-09-13,43.0
"Central/Taipower Fushing, Taiwan",2022-09-12,53.0
"Central/Taipower Fushing, Taiwan",2022-09-11,51.0
"Central/Taipower Fushing, Taiwan",2022-09-10,85.0
"Central/Taipower Fushing, Taiwan",2022-09-09,76.0
"Central/Taipower Fushing, Taiwan",2022-09-08,60.0
"Central/Taipower Fushing, Taiwan",2022-09-07,68.0
"Central/Taipower Fushing, Taiwan",2022-09-06,62.0
"Central/Taipower Fushing, Taiwan",2022-09-05,50.0
"Central/Taipower Fushing, Taiwan",2022-09-04,53.0
"Central/Taipower Fushing, Taiwan",2022-09-03,43.0
"Central/Taipower Fushing, Taiwan",2022-09-02,57.0
"Central/Taipower Fushing, Taiwan",2022-08-31,62.0
"Central/Taipower Fushing, Taiwan",2022-08-30,55.0
"Central/Taipower Fushing, Taiwan",2022-08-29,40.0
"Central/Taipower Fushing, Taiwan",2022-08-28,46.0
"Central/Taipower Fushing, Taiwan",2022-08-27,37.0
"Central/Taipower Fushing, Taiwan",2022-08-26,52.0
"Central/Taipower Fushing, Taiwan",2022-08-25,67.0
"Central/Taipower Fushing, Taiwan",2022-08-24,62.0
"Central/Taipower Fushing, Taiwan",2022-08-23,53.0
"Central/Taipower Fushing, Taiwan",2022-08-22,51.0
"Central/Taipower Fushing, Taiwan",2022-08-21,63.0
"Central/Taipower Fushing, Taiwan",2022-08-20,48.0
"Central/Taipower Fushing, Taiwan",2022-08-19,42.0
"Central/Taipower Fushing, Taiwan",2022-08-18,47.0
"Central/Taipower Fushing, Taiwan",2022-08-17,51.0
"Central/Taipower Fushing, Taiwan",2022-08-16,47.0
"Central/Taipower Fushing, Taiwan",2022-08-15,48.0
"Central/Taipower Fushing, Taiwan",2022-08-14,45.0
"Central/Taipower Fushing, Taiwan",2022-08-13,78.0
"Central/Taipower Fushing, Taiwan",2022-08-12,100.0
"Central/Taipower Fushing, Taiwan",2022-08-11,48.0
"Central/Taipower Fushing, Taiwan",2022-08-10,57.0
