location,date,aqi
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-16,53.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-15,57.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-14,51.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-13,105.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-12,136.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-11,142.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-10,100.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-09,88.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-08,77.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-05,34.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-04,61.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-03,75.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-02,105.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-11-01,65.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-31,91.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-30,94.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-29,85.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-28,62.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-27,44.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-26,43.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-25,39.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-24,67.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-23,78.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-22,84.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-21,62.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-20,54.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-19,35.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-18,52.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-17,112.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-16,91.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-15,53.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-14,48.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-13,46.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-12,38.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-11,34.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-10,31.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-09,30.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-08,36.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-07,42.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-06,38.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-05,30.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-04,50.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-02,91.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-10-01,64.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-30,92.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-29,110.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-28,79.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-27,71.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-26,49.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-25,44.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-24,41.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-23,42.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-22,42.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-21,44.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-20,35.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-19,57.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-18,59.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-17,54.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-16,40.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-15,34.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-14,54.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-13,63.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-12,47.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-11,42.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-10,67.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-09,68.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-08,74.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-07,49.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-06,44.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-04,24.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-03,35.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-02,57.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-09-01,35.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-31,40.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-30,53.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-29,47.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-28,62.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-27,58.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-26,59.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-25,40.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-24,36.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-23,39.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-22,39.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-21,43.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-20,50.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-19,59.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-18,48.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-17,48.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-16,39.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-15,35.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-14,40.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-13,30.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-12,42.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-11,36.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-10,34.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-09,25.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-08,33.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-07,35.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-06,42.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-05,27.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-04,25.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-03,24.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-02,28.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-08-01,17.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-07-31,30.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-07-30,54.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-07-29,62.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-07-28,55.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-07-27,51.0
"Gaejeong-dong, Gunsan-si, Jeonbuk, South Korea",2022-07-26,49.0
