location,date,aqi
"Padmapukur, Howrah, India",2022-11-16,159.0
"Padmapukur, Howrah, India",2022-11-15,155.0
"Padmapukur, Howrah, India",2022-11-14,160.0
"Padmapukur, Howrah, India",2022-11-13,169.0
"Padmapukur, Howrah, India",2022-11-12,151.0
"Padmapukur, Howrah, India",2022-11-11,138.0
"Padmapukur, Howrah, India",2022-11-10,145.0
"Padmapukur, Howrah, India",2022-11-09,137.0
"Padmapukur, Howrah, India",2022-11-08,148.0
"Padmapukur, Howrah, India",2022-11-05,148.0
"Padmapukur, Howrah, India",2022-11-04,119.0
"Padmapukur, Howrah, India",2022-11-03,111.0
"Padmapukur, Howrah, India",2022-11-02,118.0
"Padmapukur, Howrah, India",2022-11-01,108.0
"Padmapukur, Howrah, India",2022-10-31,117.0
"Padmapukur, Howrah, India",2022-10-30,135.0
"Padmapukur, Howrah, India",2022-10-29,157.0
"Padmapukur, Howrah, India",2022-10-28,126.0
"Padmapukur, Howrah, India",2022-10-27,101.0
"Padmapukur, Howrah, India",2022-10-26,63.0
"Padmapukur, Howrah, India",2022-10-25,32.0
"Padmapukur, Howrah, India",2022-10-16,97.0
"Padmapukur, Howrah, India",2022-10-15,71.0
"Padmapukur, Howrah, India",2022-10-14,74.0
"Padmapukur, Howrah, India",2022-10-13,40.0
"Padmapukur, Howrah, India",2022-10-12,25.0
"Padmapukur, Howrah, India",2022-10-11,40.0
"Padmapukur, Howrah, India",2022-10-10,28.0
"Padmapukur, Howrah, India",2022-10-09,56.0
"Padmapukur, Howrah, India",2022-10-08,38.0
"Padmapukur, Howrah, India",2022-10-07,21.0
"Padmapukur, Howrah, India",2022-10-06,26.0
"Padmapukur, Howrah, India",2022-10-05,32.0
"Padmapukur, Howrah, India",2022-10-04,51.0
"Padmapukur, Howrah, India",2022-10-03,60.0
"Padmapukur, Howrah, India",2022-10-02,100.0
"Padmapukur, Howrah, India",2022-10-01,53.0
"Padmapukur, Howrah, India",2022-09-30,100.0
"Padmapukur, Howrah, India",2022-09-29,86.0
"Padmapukur, Howrah, India",2022-09-28,73.0
"Padmapukur, Howrah, India",2022-09-27,63.0
"Padmapukur, Howrah, India",2022-09-26,60.0
"Padmapukur, Howrah, India",2022-09-25,65.0
"Padmapukur, Howrah, India",2022-09-24,63.0
"Padmapukur, Howrah, India",2022-09-23,49.0
"Padmapukur, Howrah, India",2022-09-22,47.0
"Padmapukur, Howrah, India",2022-09-21,33.0
"Padmapukur, Howrah, India",2022-09-20,47.0
"Padmapukur, Howrah, India",2022-09-19,68.0
"Padmapukur, Howrah, India",2022-09-18,63.0
"Padmapukur, Howrah, India",2022-09-17,53.0
"Padmapukur, Howrah, India",2022-09-16,60.0
"Padmapukur, Howrah, India",2022-09-15,39.0
"Padmapukur, Howrah, India",2022-09-14,31.0
"Padmapukur, Howrah, India",2022-09-13,22.0
"Padmapukur, Howrah, India",2022-09-12,21.0
"Padmapukur, Howrah, India",2022-09-11,25.0
"Padmapukur, Howrah, India",2022-09-10,67.0
"Padmapukur, Howrah, India",2022-09-09,49.0
"Padmapukur, Howrah, India",2022-09-08,85.0
"Padmapukur, Howrah, India",2022-09-07,76.0
"Padmapukur, Howrah, India",2022-09-06,72.0
"Padmapukur, Howrah, India",2022-09-04,47.0
"Padmapukur, Howrah, India",2022-09-03,26.0
"Padmapukur, Howrah, India",2022-09-02,26.0
"Padmapukur, Howrah, India",2022-09-01,33.0
"Padmapukur, Howrah, India",2022-08-31,45.0
"Padmapukur, Howrah, India",2022-08-30,49.0
"Padmapukur, Howrah, India",2022-08-29,57.0
"Padmapukur, Howrah, India",2022-08-28,72.0
"Padmapukur, Howrah, India",2022-08-27,67.0
"Padmapukur, Howrah, India",2022-08-26,58.0
"Padmapukur, Howrah, India",2022-08-25,43.0
"Padmapukur, Howrah, India",2022-08-24,74.0
"Padmapukur, Howrah, India",2022-08-23,67.0
"Padmapukur, Howrah, India",2022-08-22,50.0
"Padmapukur, Howrah, India",2022-08-21,29.0
"Padmapukur, Howrah, India",2022-08-20,33.0
"Padmapukur, Howrah, India",2022-08-19,82.0
"Padmapukur, Howrah, India",2022-08-18,73.0
"Padmapukur, Howrah, India",2022-08-17,67.0
"Padmapukur, Howrah, India",2022-08-16,37.0
"Padmapukur, Howrah, India",2022-08-15,20.0
"Padmapukur, Howrah, India",2022-08-14,52.0
"Padmapukur, Howrah, India",2022-08-13,60.0
"Padmapukur, Howrah, India",2022-08-12,37.0
"Padmapukur, Howrah, India",2022-08-11,22.0
"Padmapukur, Howrah, India",2022-08-10,23.0
"Padmapukur, Howrah, India",2022-08-09,24.0
"Padmapukur, Howrah, India",2022-08-08,19.0
"Padmapukur, Howrah, India",2022-08-07,28.0
"Padmapukur, Howrah, India",2022-08-06,36.0
"Padmapukur, Howrah, India",2022-08-05,48.0
"Padmapukur, Howrah, India",2022-08-04,60.0
"Padmapukur, Howrah, India",2022-08-03,77.0
"Padmapukur, Howrah, India",2022-08-02,64.0
"Padmapukur, Howrah, India",2022-08-01,42.0
"Padmapukur, Howrah, India",2022-07-31,40.0
"Padmapukur, Howrah, India",2022-07-30,50.0
"Padmapukur, Howrah, India",2022-07-29,47.0
"Padmapukur, Howrah, India",2022-07-28,47.0
"Padmapukur, Howrah, India",2022-07-27,43.0
"Padmapukur, Howrah, India",2022-07-26,36.0
"Padmapukur, Howrah, India",2022-07-25,25.0
"Padmapukur, Howrah, India",2022-07-24,26.0
"Padmapukur, Howrah, India",2022-07-23,41.0
"Padmapukur, Howrah, India",2022-07-22,57.0
"Padmapukur, Howrah, India",2022-07-21,58.0
"Padmapukur, Howrah, India",2022-07-20,36.0
"Padmapukur, Howrah, India",2022-07-19,28.0
"Padmapukur, Howrah, India",2022-07-18,35.0
"Padmapukur, Howrah, India",2022-07-17,25.0
"Padmapukur, Howrah, India",2022-07-16,23.0
"Padmapukur, Howrah, India",2022-07-15,33.0
"Padmapukur, Howrah, India",2022-07-14,20.0
"Padmapukur, Howrah, India",2022-07-13,30.0
"Padmapukur, Howrah, India",2022-07-12,22.0
"Padmapukur, Howrah, India",2022-07-11,18.0
"Padmapukur, Howrah, India",2022-07-10,15.0
"Padmapukur, Howrah, India",2022-07-09,32.0
"Padmapukur, Howrah, India",2022-07-08,29.0
"Padmapukur, Howrah, India",2022-07-07,32.0
"Padmapukur, Howrah, India",2022-07-06,42.0
"Padmapukur, Howrah, India",2022-07-05,42.0
"Padmapukur, Howrah, India",2022-07-03,67.0
"Padmapukur, Howrah, India",2022-07-02,71.0
"Padmapukur, Howrah, India",2022-07-01,53.0
"Padmapukur, Howrah, India",2022-06-30,46.0
"Padmapukur, Howrah, India",2022-06-29,47.0
"Padmapukur, Howrah, India",2022-06-28,36.0
"Padmapukur, Howrah, India",2022-06-27,41.0
"Padmapukur, Howrah, India",2022-06-26,55.0
"Padmapukur, Howrah, India",2022-06-25,51.0
"Padmapukur, Howrah, India",2022-06-24,55.0
"Padmapukur, Howrah, India",2022-06-23,55.0
"Padmapukur, Howrah, India",2022-06-22,62.0
"Padmapukur, Howrah, India",2022-06-21,45.0
"Padmapukur, Howrah, India",2022-06-20,44.0
"Padmapukur, Howrah, India",2022-06-19,41.0
"Padmapukur, Howrah, India",2022-06-18,49.0
"Padmapukur, Howrah, India",2022-06-17,55.0
"Padmapukur, Howrah, India",2022-06-16,65.0
"Padmapukur, Howrah, India",2022-06-15,61.0
"Padmapukur, Howrah, India",2022-06-14,69.0
"Padmapukur, Howrah, India",2022-06-13,76.0
"Padmapukur, Howrah, India",2022-06-12,41.0
"Padmapukur, Howrah, India",2022-06-10,83.0
"Padmapukur, Howrah, India",2022-06-09,81.0
"Padmapukur, Howrah, India",2022-06-08,72.0
"Padmapukur, Howrah, India",2022-06-07,69.0
"Padmapukur, Howrah, India",2022-06-06,73.0
"Padmapukur, Howrah, India",2022-06-05,80.0
"Padmapukur, Howrah, India",2022-06-04,84.0
"Padmapukur, Howrah, India",2022-06-03,79.0
"Padmapukur, Howrah, India",2022-06-02,95.0
"Padmapukur, Howrah, India",2022-06-01,58.0
"Padmapukur, Howrah, India",2022-05-31,94.0
"Padmapukur, Howrah, India",2022-05-30,91.0
"Padmapukur, Howrah, India",2022-05-29,119.0
"Padmapukur, Howrah, India",2022-05-28,119.0
"Padmapukur, Howrah, India",2022-05-27,101.0
"Padmapukur, Howrah, India",2022-05-26,69.0
"Padmapukur, Howrah, India",2022-05-25,77.0
"Padmapukur, Howrah, India",2022-05-24,100.0
"Padmapukur, Howrah, India",2022-05-23,82.0
"Padmapukur, Howrah, India",2022-05-22,61.0
"Padmapukur, Howrah, India",2022-05-21,57.0
"Padmapukur, Howrah, India",2022-05-20,49.0
"Padmapukur, Howrah, India",2022-05-19,44.0
"Padmapukur, Howrah, India",2022-05-18,53.0
"Padmapukur, Howrah, India",2022-05-17,56.0
"Padmapukur, Howrah, India",2022-05-16,53.0
"Padmapukur, Howrah, India",2022-05-15,53.0
"Padmapukur, Howrah, India",2022-05-14,69.0
"Padmapukur, Howrah, India",2022-05-13,70.0
"Padmapukur, Howrah, India",2022-05-12,67.0
"Padmapukur, Howrah, India",2022-05-11,47.0
"Padmapukur, Howrah, India",2022-05-10,37.0
"Padmapukur, Howrah, India",2022-05-09,74.0
"Padmapukur, Howrah, India",2022-05-08,86.0
"Padmapukur, Howrah, India",2022-05-07,78.0
"Padmapukur, Howrah, India",2022-05-06,71.0
