location,date,aqi
"Longquan Environmental Building, Lóngquán, Lishui",2022-10-02,54.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-10-01,32.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-30,70.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-29,46.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-28,58.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-27,73.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-26,64.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-25,77.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-24,87.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-23,86.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-22,64.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-21,44.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-20,73.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-19,75.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-18,73.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-17,53.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-16,40.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-15,40.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-14,68.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-13,70.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-12,60.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-11,91.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-10,112.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-09,95.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-08,74.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-07,59.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-06,54.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-04,24.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-03,58.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-02,48.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-09-01,54.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-31,53.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-30,59.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-29,47.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-28,53.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-27,28.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-26,28.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-25,31.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-24,44.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-23,42.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-22,28.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-21,27.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-20,41.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-19,55.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-18,41.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-17,53.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-16,65.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-15,65.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-14,50.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-13,51.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-12,53.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-11,40.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-10,44.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-09,38.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-08,32.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-07,28.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-06,36.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-05,41.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-04,50.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-03,58.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-02,68.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-08-01,38.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-31,57.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-30,52.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-29,56.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-28,65.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-27,66.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-26,63.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-25,55.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-24,62.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-23,65.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-22,47.0
"Longquan Environmental Building, Lóngquán, Lishui",2022-07-21,46.0
