location,date,aqi
"Huayu technical school, Dezhou",2022-11-16,136.0
"Huayu technical school, Dezhou",2022-11-15,139.0
"Huayu technical school, Dezhou",2022-11-14,64.0
"Huayu technical school, Dezhou",2022-11-13,100.0
"Huayu technical school, Dezhou",2022-11-12,223.0
"Huayu technical school, Dezhou",2022-11-11,210.0
"Huayu technical school, Dezhou",2022-11-10,201.0
"Huayu technical school, Dezhou",2022-11-09,127.0
"Huayu technical school, Dezhou",2022-11-08,110.0
"Huayu technical school, Dezhou",2022-11-07,147.0
"Huayu technical school, Dezhou",2022-11-05,81.0
"Huayu technical school, Dezhou",2022-11-04,82.0
"Huayu technical school, Dezhou",2022-11-03,120.0
"Huayu technical school, Dezhou",2022-11-02,74.0
"Huayu technical school, Dezhou",2022-11-01,169.0
"Huayu technical school, Dezhou",2022-10-31,160.0
"Huayu technical school, Dezhou",2022-10-30,84.0
"Huayu technical school, Dezhou",2022-10-29,54.0
"Huayu technical school, Dezhou",2022-10-28,80.0
"Huayu technical school, Dezhou",2022-10-27,93.0
"Huayu technical school, Dezhou",2022-10-26,133.0
"Huayu technical school, Dezhou",2022-10-25,138.0
"Huayu technical school, Dezhou",2022-10-24,126.0
"Huayu technical school, Dezhou",2022-10-23,110.0
"Huayu technical school, Dezhou",2022-10-22,132.0
"Huayu technical school, Dezhou",2022-10-21,106.0
"Huayu technical school, Dezhou",2022-10-20,116.0
"Huayu technical school, Dezhou",2022-10-19,79.0
"Huayu technical school, Dezhou",2022-10-18,58.0
"Huayu technical school, Dezhou",2022-10-17,110.0
"Huayu technical school, Dezhou",2022-10-16,171.0
"Huayu technical school, Dezhou",2022-10-15,154.0
"Huayu technical school, Dezhou",2022-10-14,128.0
"Huayu technical school, Dezhou",2022-10-13,122.0
"Huayu technical school, Dezhou",2022-10-12,85.0
"Huayu technical school, Dezhou",2022-10-11,49.0
"Huayu technical school, Dezhou",2022-10-10,36.0
"Huayu technical school, Dezhou",2022-10-09,90.0
"Huayu technical school, Dezhou",2022-10-08,116.0
"Huayu technical school, Dezhou",2022-10-07,85.0
"Huayu technical school, Dezhou",2022-10-06,60.0
"Huayu technical school, Dezhou",2022-10-05,36.0
"Huayu technical school, Dezhou",2022-10-04,41.0
"Huayu technical school, Dezhou",2022-10-03,49.0
"Huayu technical school, Dezhou",2022-10-02,89.0
"Huayu technical school, Dezhou",2022-10-01,101.0
"Huayu technical school, Dezhou",2022-09-30,114.0
"Huayu technical school, Dezhou",2022-09-29,119.0
"Huayu technical school, Dezhou",2022-09-28,131.0
"Huayu technical school, Dezhou",2022-09-27,105.0
"Huayu technical school, Dezhou",2022-09-26,122.0
"Huayu technical school, Dezhou",2022-09-25,92.0
"Huayu technical school, Dezhou",2022-09-24,50.0
