location,date,aqi
"Cassana, Emilia Romagna, Italy",2022-11-13,80.0
"Cassana, Emilia Romagna, Italy",2022-11-12,74.0
"Cassana, Emilia Romagna, Italy",2022-11-11,112.0
"Cassana, Emilia Romagna, Italy",2022-11-10,109.0
"Cassana, Emilia Romagna, Italy",2022-11-04,104.0
"Cassana, Emilia Romagna, Italy",2022-11-01,65.0
"Cassana, Emilia Romagna, Italy",2022-10-31,70.0
"Cassana, Emilia Romagna, Italy",2022-10-30,70.0
"Cassana, Emilia Romagna, Italy",2022-10-29,74.0
"Cassana, Emilia Romagna, Italy",2022-10-28,72.0
"Cassana, Emilia Romagna, Italy",2022-10-27,53.0
"Cassana, Emilia Romagna, Italy",2022-10-26,38.0
"Cassana, Emilia Romagna, Italy",2022-10-25,42.0
"Cassana, Emilia Romagna, Italy",2022-10-24,30.0
"Cassana, Emilia Romagna, Italy",2022-10-23,34.0
"Cassana, Emilia Romagna, Italy",2022-10-22,65.0
"Cassana, Emilia Romagna, Italy",2022-10-21,63.0
"Cassana, Emilia Romagna, Italy",2022-10-20,122.0
"Cassana, Emilia Romagna, Italy",2022-10-19,93.0
"Cassana, Emilia Romagna, Italy",2022-10-18,61.0
"Cassana, Emilia Romagna, Italy",2022-10-17,78.0
"Cassana, Emilia Romagna, Italy",2022-10-16,91.0
"Cassana, Emilia Romagna, Italy",2022-10-15,89.0
"Cassana, Emilia Romagna, Italy",2022-10-14,65.0
"Cassana, Emilia Romagna, Italy",2022-10-13,57.0
"Cassana, Emilia Romagna, Italy",2022-10-12,63.0
"Cassana, Emilia Romagna, Italy",2022-10-11,34.0
"Cassana, Emilia Romagna, Italy",2022-10-10,57.0
"Cassana, Emilia Romagna, Italy",2022-10-09,80.0
"Cassana, Emilia Romagna, Italy",2022-10-04,63.0
"Cassana, Emilia Romagna, Italy",2022-10-03,30.0
"Cassana, Emilia Romagna, Italy",2022-10-02,27.0
"Cassana, Emilia Romagna, Italy",2022-09-30,34.0
"Cassana, Emilia Romagna, Italy",2022-09-29,20.0
"Cassana, Emilia Romagna, Italy",2022-09-28,25.0
"Cassana, Emilia Romagna, Italy",2022-09-27,46.0
"Cassana, Emilia Romagna, Italy",2022-09-26,46.0
"Cassana, Emilia Romagna, Italy",2022-09-25,26.0
"Cassana, Emilia Romagna, Italy",2022-09-24,29.0
"Cassana, Emilia Romagna, Italy",2022-09-23,33.0
"Cassana, Emilia Romagna, Italy",2022-09-22,31.0
"Cassana, Emilia Romagna, Italy",2022-09-21,30.0
"Cassana, Emilia Romagna, Italy",2022-09-20,31.0
"Cassana, Emilia Romagna, Italy",2022-09-19,35.0
"Cassana, Emilia Romagna, Italy",2022-09-18,26.0
"Cassana, Emilia Romagna, Italy",2022-09-17,26.0
"Cassana, Emilia Romagna, Italy",2022-09-16,33.0
