lat,lon,co2
40.7696272,44.6736646,
47.59397,14.12456,2.081
40.3936294,47.7872508,
53.4250605,27.6971358,
50.6402809,4.6667145,9.318
61.0666922,-107.991707,0.033
55.670249,10.3333283,0.172
58.7523778,25.3319078,
46.603354,1.8883335,20.841
32.3293809,-83.1137366,
51.1638175,10.4478313,13.839
47.1817585,19.5060937,0.165
48.1012954,66.7780818,
41.5089324,74.724091,
56.8406494,24.7537645,
55.3500003,23.7499997,
47.2879608,28.5670941,
52.2434979,5.6343227,3.869
60.5000209,9.0999715,0.103
52.215933,19.134422,3.023
64.6863136,97.7453061,
39.3260685,-4.8379791,0.26
59.6749712,14.5208584,0.081
38.6281733,70.8156541,
39.3763807,59.3924609,
49.4871968,31.2718321,
54.7023545,-3.2765753,103.548
39.7837304,-100.445882,15.07
41.32373,63.9528098,
