lat,lon,co2
33.7680065,66.2385139,0.293
41.000028,19.9999619,1.506
28.0000272,2.9999825,5.537
-11.8775768,17.5691241,0.619
17.2234721,-61.9554608,0.022
-34.9964963,-64.9672817,47.608
40.7696272,44.6736646,2.802
12.51756625,-69.98186415210564,0.638
-24.7761086,134.755,74.516
47.59397,14.12456,29.179
40.3936294,47.7872508,16.271
24.7736546,-78.0000547,0.176
26.1551249,50.5344606,0.755
24.4769288,90.2934413,1.689
13.1500331,-59.5250305,0.136
53.4250605,27.6971358,34.252
50.6402809,4.6667145,96.487
16.8259793,-88.7600927,0.029
32.30382,-64.7561647,0.139
-17.0568696,-64.9912286,1.004
12.11632955,-68.22087151226087,0.491
44.3053476,17.5961467,4.264
-10.3333333,-53.2,35.974
4.4137155,114.5653908,0.293
42.6073975,25.4856617,14.389
-3.426449,29.9324519,0.01
12.5433216,104.8144914,0.161
4.6125522,13.1535811,0.256
61.0666922,-107.991707,182.811
16.0000552,-24.0083947,0.018
-31.7613365,-71.3187697,11.726
35.000074,104.999927,255.785
4.099917,-72.9088133,13.651
10.2735633,-84.0739102,0.462
45.5643442,17.0118954,4.596
23.0131338,-80.8328748,13.866
12.21339425,-69.0408499890865,9.205
34.9823018,33.1451285,0.817
49.7439047,15.3381061,84.904
-15.4139213,28.289698,3.329
55.670249,10.3333283,24.9
11.8145966,42.8453061,0.044
19.0974031,-70.3028026,0.004
19.0974031,-70.3028026,1.032
-1.3397668,-79.3666965,1.132
26.2540493,29.2675469,11.917
13.8000382,-88.9140683,0.597
1.613172,10.5170357,0.033
58.7523778,25.3319078,12.485
-26.5624806,31.3991317,0.004
10.2116702,38.6521203,0.322
62.0448724,-7.0322972,0.095
-18.1239696,179.0122737,0.165
63.2467777,25.9209164,12.241
46.603354,1.8883335,277.841
9.0,19.0,0.374
4.0039882,-52.999998,0.015
-17.0243749,-144.6434898,0.051
16.0,0.0,1.403
13.470062,-15.4900464,0.022
32.3293809,-83.1137366,5.021
51.1638175,10.4478313,777.908
8.0300284,-1.0800271,1.293
38.9953683,21.9877132,6.814
77.6192349,-42.8125967,0.161
12.1360374,-61.6904045,0.011
16.2528827,-61.5686855,0.11
15.5855545,-90.345759,0.985
12.100035,-14.9000214,0.011
4.8417097,-58.6416891,0.535
19.1399952,-72.3570972,0.253
15.2572432,-86.0755145,0.575
22.2793278,114.1628131,2.363
47.1817585,19.5060937,38.446
64.9841821,-18.1059013,0.964
22.3511148,78.6677428,91.739
-2.4833826,117.8902853,22.412
32.6475314,54.5643516,21.8
33.0955793,44.1749775,5.97
52.865196,-7.9794599,9.718
30.8124247,34.8594762,5.171
42.6384261,12.674297,87.078
18.1850507,-77.3947693,1.604
36.5748441,139.2394179,188.067
31.1667049,36.941628,0.494
48.1012954,66.7780818,82.348
1.4419683,38.4313975,2.282
29.2733964,47.4979476,2.198
41.5089324,74.724091,7.284
20.0171109,103.378253,0.059
56.8406494,24.7537645,8.226
33.8750629,35.843409,2.064
5.7499721,-9.3658524,0.084
26.8234472,18.1236723,0.311
55.3500003,23.7499997,12.704
49.8158683,6.1296751,10.837
22.1899448,113.5380454,0.029
-18.9249604,46.4416422,0.315
-13.2687204,33.9301963,0.461
4.5693754,102.2656823,3.513
35.8885993,14.4476911,0.311
14.6367927,-61.01582685063731,0.161
-20.2759451,57.5703566,0.22
23.6585116,-102.0077097,49.278
47.2879608,28.5670941,13.329
46.8250388,103.8499736,0.762
42.9868853,19.5180992,0.421
31.1728205,-7.3362482,3.054
-19.302233,34.9144977,1.769
17.1750495,95.9999652,2.099
28.1083929,84.0917139,0.055
52.2434979,5.6343227,64.408
-21.3019905,165.4880773,1.066
-41.5000831,172.8344077,10.305
12.6090157,-85.2936911,0.418
9.6000359,7.9999721,3.184
40.3736611,127.0870417,11.289
41.6171214,21.7168387,3.116
60.5000209,9.0999715,11.358
30.3308401,71.247499,9.105
5.3783537,132.9102573,0.015
8.559559,-81.1308434,0.765
-5.6816069,144.2489081,0.147
-23.3165935,-58.1693445,0.212
-6.8699697,-75.0458515,6.674
12.7503486,122.7312101,6.729
52.215933,19.134422,178.682
39.6621648,-8.1353519,7.782
25.3336984,51.2295295,0.311
-21.130737949999997,55.536480112992315,0.059
45.9852129,24.6859225,45.93
64.6863136,97.7453061,755.682
-1.9646631,30.0644358,0.019
26.52,128.053,0.22
13.8250489,-60.975036,0.011
46.783246899999995,-56.195158907484085,0.04
12.90447,-61.2765569,0.007
-13.7693895,-172.12005,0.015
0.9713095,7.02255,0.011
25.6242618,42.3528328,2.099
44.1534121,20.55144,12.4
8.6400349,-11.8400269,0.388
1.357107,103.8194992,1.729
18.0423736,-63.0549948,1.098
48.7411522,19.4528646,27.141
45.8133113,14.4808369,3.516
-8.7053941,159.1070693851845,0.011
8.3676771,49.083416,0.073
-28.8166236,24.991639,89.652
36.638392,127.6961188,8.214
7.8699431,29.6667897,0.096
39.3260685,-4.8379791,50.213
7.5554942,80.7137847,2.319
17.751983,-62.955379,0.011
14.5844444,29.4917691,1.058
4.1413025,-56.0771187,0.374
59.6749712,14.5208584,38.843
46.7985624,8.2319736,17.694
34.6401861,39.0494106,1.981
23.9739374,120.9820179,8.183
38.6281733,70.8156541,4.2
-6.5247123,35.7878438,0.762
14.8971921,100.83273,2.922
8.7800265,1.0199765,0.048
-19.9160819,-175.202642,0.007
10.7466905,-61.0840075,2.564
33.8439408,9.400138,1.574
38.9597594,34.9249653,15.97
39.3763807,59.3924609,10.288
1.5333554,32.2166578,0.278
49.4871968,31.2718321,239.831
54.7023545,-3.2765753,570.714
39.7837304,-100.445882,2835.606
