0,1,2
Armenia,1852,
Austria,1852,2.81
Azerbaijan,1852,
Belarus,1852,
Belgium,1852,11.41
Canada,1852,0.084
Denmark,1852,0.333
Estonia,1852,
France,1852,21.57
Georgia,1852,
Germany,1852,19.174
Hungary,1852,0.344
Ireland,1852,
Kazakhstan,1852,
Kyrgyzstan,1852,
Latvia,1852,
Lithuania,1852,
Moldova,1852,
Netherlands,1852,3.763
Norway,1852,0.15
Poland,1852,4.129
Russia,1852,
Spain,1852,0.535
Sweden,1852,0.216
Tajikistan,1852,
Turkmenistan,1852,
Ukraine,1852,
United Kingdom,1852,116.24
United States,1852,26.791
Uzbekistan,1852,
