0,1,2
Afghanistan,2008,4.2
Albania,2008,4.272
Algeria,2008,109.032
Andorra,2008,0.539
Angola,2008,25.486
Anguilla,2008,0.15
Antarctica,2008,
Antigua and Barbuda,2008,0.418
Argentina,2008,188.106
Armenia,2008,5.575
Aruba,2008,2.656
Australia,2008,409.653
Austria,2008,73.472
Azerbaijan,2008,35.45
Bahamas,2008,1.916
Bahrain,2008,29.681
Bangladesh,2008,45.301
Barbados,2008,1.612
Belarus,2008,65.439
Belgium,2008,120.181
Belize,2008,0.436
Benin,2008,3.919
Bermuda,2008,0.649
Bhutan,2008,0.401
Bolivia,2008,13.554
Bonaire Sint Eustatius and Saba,2008,0.294
Bosnia and Herzegovina,2008,19.959
Botswana,2008,4.503
Brazil,2008,412.638
British Virgin Islands,2008,0.191
Brunei,2008,8.991
Bulgaria,2008,54.079
Burkina Faso,2008,1.734
Burundi,2008,0.209
Cambodia,2008,3.881
Cameroon,2008,5.426
Canada,2008,579.367
Cape Verde,2008,0.469
Central African Republic,2008,0.165
Chad,2008,0.927
Chile,2008,70.795
China,2008,7496.832
Christmas Island,2008,
Colombia,2008,66.65
Comoros,2008,0.11
Congo,2008,1.33
Cook Islands,2008,0.051
Costa Rica,2008,7.99
Cote d'Ivoire,2008,6.592
Croatia,2008,23.599
Cuba,2008,28.108
Curacao,2008,5.515
Cyprus,2008,8.714
Czechia,2008,122.995
Democratic Republic of Congo,2008,1.811
Denmark,2008,51.22
Djibouti,2008,0.498
Dominica,2008,0.165
Dominican Republic,2008,20.332
Ecuador,2008,29.573
Egypt,2008,194.764
El Salvador,2008,6.405
Equatorial Guinea,2008,6.119
Eritrea,2008,0.409
Estonia,2008,17.875
Eswatini,2008,1.022
Ethiopia,2008,6.418
Faroe Islands,2008,0.63
Fiji,2008,0.879
Finland,2008,58.617
France,2008,387.992
French Equatorial Africa,2008,
French Guiana,2008,0.582
French Polynesia,2008,0.795
French West Africa,2008,
Gabon,2008,4.163
Gambia,2008,0.366
Georgia,2008,5.309
Germany,2008,854.927
Ghana,2008,8.925
Greece,2008,111.125
Greenland,2008,0.678
