0,1,2
Afghanistan,2009,6.74
Albania,2009,4.254
Algeria,2009,120.185
Andorra,2009,0.517
Angola,2009,27.565
Anguilla,2009,0.147
Antarctica,2009,
Antigua and Barbuda,2009,0.443
Argentina,2009,178.949
Armenia,2009,4.363
Aruba,2009,2.627
Australia,2009,401.321
Austria,2009,67.291
Azerbaijan,2009,31.856
Bahamas,2009,1.949
Bahrain,2009,28.098
Bangladesh,2009,49.148
Barbados,2009,1.597
Belarus,2009,61.045
Belgium,2009,107.712
Belize,2009,0.517
Benin,2009,4.225
Bermuda,2009,0.476
Bhutan,2009,0.369
Bolivia,2009,14.229
Bonaire Sint Eustatius and Saba,2009,0.301
Bosnia and Herzegovina,2009,20.537
Botswana,2009,3.855
Brazil,2009,389.775
British Virgin Islands,2009,0.191
Brunei,2009,7.746
Bulgaria,2009,45.815
Burkina Faso,2009,1.829
Burundi,2009,0.169
Cambodia,2009,4.557
Cameroon,2009,6.594
Canada,2009,546.61
Cape Verde,2009,0.52
Central African Republic,2009,0.161
Chad,2009,0.942
Chile,2009,65.901
China,2009,7886.533
Christmas Island,2009,
Colombia,2009,72.557
Comoros,2009,0.136
Congo,2009,1.724
Cook Islands,2009,0.048
Costa Rica,2009,7.748
Cote d'Ivoire,2009,5.514
Croatia,2009,21.809
Cuba,2009,28.396
Curacao,2009,5.643
Cyprus,2009,8.469
Czechia,2009,115.239
Democratic Republic of Congo,2009,1.694
Denmark,2009,48.816
Djibouti,2009,0.458
Dominica,2009,0.161
Dominican Republic,2009,19.781
Ecuador,2009,32.503
Egypt,2009,203.17
El Salvador,2009,6.312
Equatorial Guinea,2009,5.408
Eritrea,2009,0.497
Estonia,2009,14.489
Eswatini,2009,1.059
Ethiopia,2009,6.453
Faroe Islands,2009,0.575
Fiji,2009,0.778
Finland,2009,55.937
France,2009,368.631
French Equatorial Africa,2009,
French Guiana,2009,0.766
French Polynesia,2009,0.799
French West Africa,2009,
Gabon,2009,4.233
Gambia,2009,0.381
Georgia,2009,6.136
Germany,2009,790.295
Ghana,2009,7.498
Greece,2009,104.355
Greenland,2009,0.593
Grenada,2009,0.253
