0,1,2
Armenia,1848,
Austria,1848,2.334
Azerbaijan,1848,
Belarus,1848,
Belgium,1848,8.284
Canada,1848,0.04
Denmark,1848,0.311
Estonia,1848,
France,1848,16.69
Georgia,1848,
Germany,1848,12.828
Hungary,1848,
Kazakhstan,1848,
Kyrgyzstan,1848,
Latvia,1848,
Lithuania,1848,
Moldova,1848,
Netherlands,1848,3.649
Norway,1848,0.132
Poland,1848,3.045
Russia,1848,
Spain,1848,0.293
Sweden,1848,0.139
Tajikistan,1848,
Turkmenistan,1848,
Ukraine,1848,
United Kingdom,1848,109.286
United States,1848,16.785
Uzbekistan,1848,
