0,1,2
Afghanistan,2003,1.186
Albania,2003,4.232
Algeria,2003,91.048
Andorra,2003,0.535
Angola,2003,8.989
Anguilla,2003,0.103
Antarctica,2003,0.004
Antigua and Barbuda,2003,0.352
Argentina,2003,134.631
Armenia,2003,3.456
Aruba,2003,2.561
Australia,2003,373.233
Austria,2003,77.451
Azerbaijan,2003,30.624
Bahamas,2003,2.07
Bahrain,2003,16.769
Bangladesh,2003,33.459
Barbados,2003,1.245
Belarus,2003,56.105
Belgium,2003,128.25
Belize,2003,0.432
Benin,2003,2.394
Bermuda,2003,0.561
Bhutan,2003,0.36
Bolivia,2003,9.985
Bonaire Sint Eustatius and Saba,2003,0.251
Bosnia and Herzegovina,2003,14.358
Botswana,2003,3.825
Brazil,2003,344.645
British Virgin Islands,2003,0.147
Brunei,2003,4.47
Bulgaria,2003,50.533
Burkina Faso,2003,1.075
Burundi,2003,0.161
Cambodia,2003,2.378
Cameroon,2003,3.699
Canada,2003,582.344
Cape Verde,2003,0.308
Central African Republic,2003,0.224
Chad,2003,0.744
Chile,2003,54.864
China,2003,4545.014
Christmas Island,2003,
Colombia,2003,57.094
Comoros,2003,0.136
Congo,2003,0.916
Cook Islands,2003,0.029
Costa Rica,2003,6.583
Cote d'Ivoire,2003,5.133
Croatia,2003,23.214
Cuba,2003,25.943
Curacao,2003,4.699
Cyprus,2003,7.574
Czechia,2003,127.413
Democratic Republic of Congo,2003,1.037
Denmark,2003,60.626
Djibouti,2003,0.421
Dominica,2003,0.117
Dominican Republic,2003,21.345
Ecuador,2003,26.747
Egypt,2003,146.463
El Salvador,2003,6.435
Equatorial Guinea,2003,7.962
Eritrea,2003,0.71
Estonia,2003,17.235
Eswatini,2003,1.004
Ethiopia,2003,4.87
Faroe Islands,2003,0.733
Fiji,2003,1.037
Finland,2003,72.658
France,2003,411.946
French Equatorial Africa,2003,
French Guiana,2003,0.646
French Polynesia,2003,0.74
French West Africa,2003,
Gabon,2003,4.614
