0,1,2
Armenia,1849,
Austria,1849,2.261
Azerbaijan,1849,
Belarus,1849,
Belgium,1849,8.735
Canada,1849,0.048
Denmark,1849,0.271
Estonia,1849,
France,1849,17.386
Georgia,1849,
Germany,1849,13.623
Hungary,1849,
Kazakhstan,1849,
Kyrgyzstan,1849,
Latvia,1849,
Lithuania,1849,
Moldova,1849,
Netherlands,1849,3.331
Norway,1849,0.106
Poland,1849,3.004
Russia,1849,
Spain,1849,0.326
Sweden,1849,0.194
Tajikistan,1849,
Turkmenistan,1849,
Ukraine,1849,
United Kingdom,1849,116.006
United States,1849,18.221
Uzbekistan,1849,
