lat,lon,co2
33.7680065,66.2385139,1.756
41.000028,19.9999619,5.166
28.0000272,2.9999825,66.416
-11.8775768,17.5691241,5.334
17.2234721,-61.9554608,0.143
-34.9964963,-64.9672817,108.656
40.7696272,44.6736646,8.018
12.51756625,-69.98186415210564,0.585
-24.7761086,134.755,220.537
47.59397,14.12456,52.025
40.3936294,47.7872508,46.222
24.7736546,-78.0000547,7.972
26.1551249,50.5344606,7.881
24.4769288,90.2934413,7.597
13.1500331,-59.5250305,0.674
53.4250605,27.6971358,96.796
50.6402809,4.6667145,134.836
16.8259793,-88.7600927,0.191
9.5293472,2.2584408,0.48
32.30382,-64.7561647,0.436
27.549511,90.5119273,0.022
-17.0568696,-64.9912286,4.659
12.11632955,-68.22087151226087,0.451
44.3053476,17.5961467,16.141
-23.1681782,24.5928742,0.986
-10.3333333,-53.2,185.937
18.4024395,-64.5661642,0.029
4.4137155,114.5653908,6.877
42.6073975,25.4856617,77.251
12.0753083,-1.6880314,0.432
-3.426449,29.9324519,0.147
12.5433216,104.8144914,0.286
4.6125522,13.1535811,3.886
61.0666922,-107.991707,442.847
16.0000552,-24.0083947,0.121
7.0323598,19.9981227,0.106
15.6134137,19.0156172,0.209
-31.7613365,-71.3187697,25.094
35.000074,104.999927,1494.496
-10.49124145,105.6173514897963,0.099
4.099917,-72.9088133,44.174
-12.2045176,44.2832964,0.048
-2.9814344,23.8222636,0.406
-19.919672900000002,-157.9753368892878,0.029
10.2735633,-84.0739102,2.448
7.9897371,-5.5679458,5.569
45.5643442,17.0118954,16.358
23.0131338,-80.8328748,31.374
12.21339425,-69.0408499890865,8.446
34.9823018,33.1451285,3.261
49.7439047,15.3381061,181.592
-15.4139213,28.289698,3.485
55.670249,10.3333283,60.348
11.8145966,42.8453061,0.348
19.0974031,-70.3028026,0.037
19.0974031,-70.3028026,6.427
-1.3397668,-79.3666965,13.407
26.2540493,29.2675469,45.176
13.8000382,-88.9140683,2.119
1.613172,10.5170357,0.059
58.7523778,25.3319078,35.135
-26.5624806,31.3991317,0.465
10.2116702,38.6521203,1.817
62.0448724,-7.0322972,0.421
-18.1239696,179.0122737,0.792
