0,1,2
Afghanistan,2013,8.441
Albania,2013,4.928
Algeria,2013,132.435
Andorra,2013,0.476
Angola,2013,33.229
Anguilla,2013,0.117
Antarctica,2013,
Antigua and Barbuda,2013,0.462
Argentina,2013,190.133
Armenia,2013,5.535
Aruba,2013,0.861
Australia,2013,393.171
Austria,2013,67.759
Azerbaijan,2013,35.215
Bahamas,2013,2.704
Bahrain,2013,31.0
Bangladesh,2013,61.782
Barbados,2013,1.437
Belarus,2013,63.237
Belgium,2013,102.652
Belize,2013,0.44
Benin,2013,4.566
Bermuda,2013,0.535
Bhutan,2013,0.853
Bolivia,2013,19.094
Bonaire Sint Eustatius and Saba,2013,0.322
Bosnia and Herzegovina,2013,21.801
Botswana,2013,5.663
Brazil,2013,532.418
British Virgin Islands,2013,0.202
Brunei,2013,7.628
Bulgaria,2013,42.68
Burkina Faso,2013,2.864
Burundi,2013,0.398
Cambodia,2013,5.578
Cameroon,2013,5.07
Canada,2013,573.699
Cape Verde,2013,0.495
Central African Republic,2013,0.117
Chad,2013,0.656
Chile,2013,81.811
China,2013,9952.744
Christmas Island,2013,
Colombia,2013,87.428
Comoros,2013,0.183
Congo,2013,3.208
Cook Islands,2013,0.07
Costa Rica,2013,7.632
Cote d'Ivoire,2013,9.526
Croatia,2013,18.436
Cuba,2013,28.024
Curacao,2013,5.503
Cyprus,2013,6.581
Czechia,2013,106.526
Democratic Republic of Congo,2013,3.538
Denmark,2013,41.746
Djibouti,2013,0.557
Dominica,2013,0.169
Dominican Republic,2013,21.267
Ecuador,2013,39.362
Egypt,2013,206.949
El Salvador,2013,6.094
Equatorial Guinea,2013,11.578
Eritrea,2013,0.621
Estonia,2013,19.738
Eswatini,2013,1.4
Ethiopia,2013,9.781
Faroe Islands,2013,0.649
Fiji,2013,1.099
Finland,2013,51.728
France,2013,357.537
French Equatorial Africa,2013,
French Guiana,2013,0.692
French Polynesia,2013,0.788
French West Africa,2013,
Gabon,2013,5.269
Gambia,2013,0.432
Georgia,2013,8.009
Germany,2013,831.454
Ghana,2013,14.18
Greece,2013,81.736
Greenland,2013,0.561
Grenada,2013,0.304
Guadeloupe,2013,2.435
Guatemala,2013,12.784
Guinea,2013,2.11
Guinea-Bissau,2013,0.245
Guyana,2013,1.905
Haiti,2013,2.706
Honduras,2013,9.24
Hong Kong,2013,44.307
Hungary,2013,43.59
Iceland,2013,3.483
India,2013,2036.937
Indonesia,2013,496.074
Iran,2013,610.21
Iraq,2013,163.677
Ireland,2013,37.292
Israel,2013,63.132
Italy,2013,369.834
Jamaica,2013,8.492
Japan,2013,1315.343
Jordan,2013,23.813
Kazakhstan,2013,253.729
Kenya,2013,12.77
Kiribati,2013,0.051
Kosovo,2013,8.006
Kuwait,2013,81.704
Kyrgyzstan,2013,9.658
Laos,2013,4.261
Latvia,2013,7.368
Lebanon,2013,22.163
Leeward Islands,2013,
Lesotho,2013,2.334
Liberia,2013,0.878
Libya,2013,41.914
Liechtenstein,2013,0.192
Lithuania,2013,13.355
Luxembourg,2013,10.321
Macao,2013,1.204
Madagascar,2013,3.215
Malawi,2013,1.163
Malaysia,2013,242.487
Maldives,2013,1.092
Mali,2013,2.743
Malta,2013,2.444
Marshall Islands,2013,0.139
Martinique,2013,2.232
Mauritania,2013,2.045
Mauritius,2013,4.067
Mayotte,2013,0.29
Mexico,2013,490.13
Moldova,2013,4.899
Mongolia,2013,43.559
Montenegro,2013,2.151
Montserrat,2013,0.051
Morocco,2013,56.606
Mozambique,2013,3.576
Myanmar,2013,12.938
Namibia,2013,2.568
Nauru,2013,0.048
Nepal,2013,6.218
Netherlands,2013,164.685
New Caledonia,2013,3.849
New Zealand,2013,35.305
Nicaragua,2013,4.616
Niger,2013,1.891
Nigeria,2013,122.098
Niue,2013,0.007
North Korea,2013,27.014
North Macedonia,2013,7.771
Norway,2013,44.639
Oman,2013,61.278
Pakistan,2013,150.451
Palau,2013,0.227
Panama,2013,10.513
Papua New Guinea,2013,5.331
Paraguay,2013,5.172
Peru,2013,43.063
Philippines,2013,95.794
Poland,2013,322.614
Portugal,2013,48.182
Puerto Rico,2013,
Qatar,2013,82.697
Reunion,2013,4.361
Romania,2013,74.75
Russia,2013,1619.42
Rwanda,2013,0.782
Ryukyu Islands,2013,
Saint Helena,2013,0.011
Saint Kitts and Nevis,2013,0.224
