lat,lon,co2
25.6242618,42.3528328,609.206
14.4750607,-14.4529612,8.724
44.1534121,20.55144,37.189
-4.6574977,55.4540146,0.462
8.6400349,-11.8400269,1.11
1.357107,103.8194992,55.209
18.0423736,-63.0549948,0.733
48.7411522,19.4528646,33.591
45.8133113,14.4808369,13.54
-8.7053941,159.1070693851845,0.33
8.3676771,49.083416,0.63
-28.8166236,24.991639,480.628
36.638392,127.6961188,630.595
7.8699431,29.6667897,1.524
39.3260685,-4.8379791,255.068
7.5554942,80.7137847,17.691
14.5844444,29.4917691,16.645
4.1413025,-56.0771187,2.809
59.6749712,14.5208584,43.336
46.7985624,8.2319736,39.231
34.6401861,39.0494106,30.841
23.9739374,120.9820179,276.311
38.6281733,70.8156541,4.6
-6.5247123,35.7878438,9.9
14.8971921,100.83273,282.648
-9.346017100000001,124.63707741045215,0.608
8.7800265,1.0199765,1.542
-19.9160819,-175.202642,0.114
10.7466905,-61.0840075,46.344
33.8439408,9.400138,27.894
38.9597594,34.9249653,361.675
39.3763807,59.3924609,68.033
21.721746,-71.5527809,0.198
-8.6405212,179.1582918181797,0.007
1.5333554,32.2166578,4.09
49.4871968,31.2718321,257.509
24.0002488,53.9994829,201.927
54.7023545,-3.2765753,438.541
39.7837304,-100.445882,5522.807
-32.8755548,-56.0201525,6.684
41.32373,63.9528098,104.953
-16.5255069,168.1069154,0.154
8.0018709,-66.1109318,186.708
15.9266657,107.9650855,169.006
-13.289402,-176.204224,0.022
16.3471243,47.8915271,24.216
-14.5189121,27.5589884,4.877
-18.4554963,29.7468414,11.906
