lat,lon,co2
-34.9964963,-64.9672817,2.305
40.7696272,44.6736646,0.101
-24.7761086,134.755,4.503
47.59397,14.12456,21.299
40.3936294,47.7872508,0.585
53.4250605,27.6971358,1.225
50.6402809,4.6667145,42.279
44.3053476,17.5961467,0.064
42.6073975,25.4856617,0.106
61.0666922,-107.991707,14.649
-31.7613365,-71.3187697,0.535
45.5643442,17.0118954,0.07
49.7439047,15.3381061,30.599
55.670249,10.3333283,4.313
58.7523778,25.3319078,0.444
63.2467777,25.9209164,0.297
46.603354,1.8883335,106.282
32.3293809,-83.1137366,0.181
51.1638175,10.4478313,256.26
38.9953683,21.9877132,0.374
47.1817585,19.5060937,7.376
22.3511148,78.6677428,7.618
-2.4833826,117.8902853,0.861
42.6384261,12.674297,11.424
36.5748441,139.2394179,12.916
48.1012954,66.7780818,2.924
41.5089324,74.724091,0.259
56.8406494,24.7537645,0.293
55.3500003,23.7499997,0.458
4.5693754,102.2656823,0.125
23.6585116,-102.0077097,0.579
47.2879608,28.5670941,0.474
42.9868853,19.5180992,0.006
52.2434979,5.6343227,12.494
-41.5000831,172.8344077,1.77
41.6171214,21.7168387,0.047
60.5000209,9.0999715,3.125
-6.8699697,-75.0458515,0.04
52.215933,19.134422,52.725
39.6621648,-8.1353519,1.729
45.9852129,24.6859225,1.118
64.6863136,97.7453061,26.933
44.1534121,20.55144,0.187
48.7411522,19.4528646,9.84
45.8133113,14.4808369,0.053
-28.8166236,24.991639,4.258
39.3260685,-4.8379791,9.303
59.6749712,14.5208584,6.156
46.7985624,8.2319736,4.21
23.9739374,120.9820179,0.004
38.6281733,70.8156541,0.15
38.9597594,34.9249653,0.443
39.3763807,59.3924609,0.373
49.4871968,31.2718321,8.546
54.7023545,-3.2765753,375.981
39.7837304,-100.445882,480.882
41.32373,63.9528098,1.198
15.9266657,107.9650855,0.363
