lat,lon,co2
40.7696272,44.6736646,0.012
-24.7761086,134.755,0.707
47.59397,14.12456,10.006
40.3936294,47.7872508,0.071
53.4250605,27.6971358,0.149
50.6402809,4.6667145,25.589
61.0666922,-107.991707,1.847
49.7439047,15.3381061,5.783
55.670249,10.3333283,1.14
58.7523778,25.3319078,0.054
63.2467777,25.9209164,0.092
46.603354,1.8883335,60.925
32.3293809,-83.1137366,0.022
51.1638175,10.4478313,92.109
38.9953683,21.9877132,0.176
47.1817585,19.5060937,2.796
42.6384261,12.674297,2.975
36.5748441,139.2394179,0.033
48.1012954,66.7780818,0.356
41.5089324,74.724091,0.031
56.8406494,24.7537645,0.036
55.3500003,23.7499997,0.056
47.2879608,28.5670941,0.058
52.2434979,5.6343227,5.331
60.5000209,9.0999715,0.656
52.215933,19.134422,20.632
39.6621648,-8.1353519,0.52
45.9852129,24.6859225,0.04
64.6863136,97.7453061,3.275
48.7411522,19.4528646,1.86
39.3260685,-4.8379791,3.261
59.6749712,14.5208584,1.711
46.7985624,8.2319736,1.275
38.6281733,70.8156541,0.018
38.9597594,34.9249653,0.245
39.3763807,59.3924609,0.045
49.4871968,31.2718321,1.039
54.7023545,-3.2765753,254.989
39.7837304,-100.445882,126.305
41.32373,63.9528098,0.146
